Cycle=1_Fc=2-1_X	Cycle=1_Fc=2-1_Y	Cycle=2_Fc=2-1_X	Cycle=2_Fc=2-1_Y	Cycle=3_Fc=2-1_X	Cycle=3_Fc=2-1_Y	Cycle=4_Fc=2-1_X	Cycle=4_Fc=2-1_Y	Cycle=5_Fc=2-1_X	Cycle=5_Fc=2-1_Y	Cycle=6_Fc=2-1_X	Cycle=6_Fc=2-1_Y	Cycle=7_Fc=2-1_X	Cycle=7_Fc=2-1_Y	Cycle=8_Fc=2-1_X	Cycle=8_Fc=2-1_Y	Cycle=9_Fc=2-1_X	Cycle=9_Fc=2-1_Y	Cycle=10_Fc=2-1_X	Cycle=10_Fc=2-1_Y	Cycle=11_Fc=2-1_X	Cycle=11_Fc=2-1_Y	Cycle=12_Fc=2-1_X	Cycle=12_Fc=2-1_Y	Cycle=13_Fc=2-1_X	Cycle=13_Fc=2-1_Y	Cycle=14_Fc=2-1_X	Cycle=14_Fc=2-1_Y	Cycle=15_Fc=2-1_X	Cycle=15_Fc=2-1_Y	Cycle=16_Fc=2-1_X	Cycle=16_Fc=2-1_Y
0.1	0	0.1	14.2793	0.1	21.1816	0.1	24.8125	0.1	27.8613	0.1	29.8301	0.1	31.9199	0.1	32.7324	0.1	34.3398	0.1	36.9121	0.1	37.3008	0.1	40.9805	0.1	43.2324	0.1	43.8301	0.1	45.5	0.1	47.0605
0.2	0	0.2	14.2305	0.2	21.1914	0.2	24.793	0.2	27.8809	0.2	29.8203	0.2	31.9297	0.2	32.6211	0.2	34.1484	0.2	36.791	0.2	37.2813	0.2	40.9492	0.2	43.332	0.2	43.9492	0.2	45.5293	0.2	47.1113
0.3	0	0.3	14.248	0.3	21.2402	0.3	24.8516	0.3	27.9082	0.3	29.8203	0.3	31.959	0.3	32.6211	0.3	34.207	0.3	36.8008	0.3	37.2988	0.3	40.9688	0.3	43.3613	0.3	43.998	0.3	45.5586	0.3	47.1406
0.4	0	0.4	14.2305	0.4	21.2422	0.4	24.873	0.4	27.9199	0.4	29.832	0.4	31.9805	0.4	32.6328	0.4	34.2188	0.4	36.8223	0.4	37.3105	0.4	40.9512	0.4	43.3418	0.4	43.9805	0.4	45.5488	0.4	47.1426
0.5	0	0.5	14.2305	0.5	21.2422	0.5	24.8535	0.5	27.9004	0.5	29.8418	0.5	31.9902	0.5	32.6328	0.5	34.2188	0.5	36.8223	0.5	37.3008	0.5	40.9609	0.5	43.3418	0.5	43.9902	0.5	45.5586	0.5	47.1523
0.6	0	0.6	14.2402	0.6	21.2715	0.6	24.873	0.6	27.9102	0.6	29.8613	0.6	32.0195	0.6	32.6621	0.6	34.2285	0.6	36.8613	0.6	37.3008	0.6	40.9902	0.6	43.3418	0.6	44	0.6	45.5898	0.6	47.1504
0.7	0	0.7	14.25	0.7	21.2813	0.7	24.8711	0.7	27.9199	0.7	29.8809	0.7	32.0488	0.7	32.6719	0.7	34.2285	0.7	36.8809	0.7	37.3105	0.7	40.9805	0.7	43.332	0.7	44	0.7	45.5879	0.7	47.1699
0.8	0	0.8	14.2402	0.8	21.2715	0.8	24.8613	0.8	27.9199	0.8	29.8711	0.8	32.0488	0.8	32.6719	0.8	34.2285	0.8	36.8809	0.8	37.3105	0.8	40.9805	0.8	43.332	0.8	43.9902	0.8	45.5996	0.8	47.1699
0.9	0	0.9	14.25	0.9	21.2715	0.9	24.8613	0.9	27.9102	0.9	29.8691	0.9	32.0586	0.9	32.6719	0.9	34.2285	0.9	36.8906	0.9	37.3203	0.9	40.9785	0.9	43.332	0.9	44	0.9	45.6191	0.9	47.1797
1	0	1	14.2695	1	21.291	1	24.8711	1	27.9297	1	29.8887	1	32.0684	1	32.6914	1	34.248	1	36.9102	1	37.3496	1	40.998	1	43.3613	1	44.0293	1	45.6289	1	47.1992
