X	Y	Req vs C_X	Req vs C_Y
9.8e-8	3.42424	9.8e-8	7.29774
1.95e-7	6.49764	2.11721e-6	39.8973
3.9e-7	10.1392	4.13642e-6	65.7711
3.9e-7	10.2766	6.15564e-6	86.806
7.8e-7	20.6565	8.17485e-6	104.243
1.56e-6	35.7714	1.01941e-5	118.933
3.125e-6	56.3049	1.22133e-5	131.478
3.125e-6	56.6001	1.42325e-5	142.315
6.25e-6	93.0984	1.62517e-5	151.771
1.25e-5	135.353	1.82709e-5	160.094
2.5e-5	178.222	2.02901e-5	167.477
2.5e-5	178.348	2.23093e-5	174.069
5e-5	216.531	2.43285e-5	179.992
1e-4	248.379	2.63478e-5	185.343
2e-4	280.476	2.8367e-5	190.2
		3.03862e-5	194.629
		3.24054e-5	198.685
		3.44246e-5	202.412
		3.64438e-5	205.849
		3.8463e-5	209.028
		4.04822e-5	211.978
		4.25015e-5	214.722
		4.45207e-5	217.281
		4.65399e-5	219.674
		4.85591e-5	221.915
		5.05783e-5	224.02
		5.25975e-5	225.999
		5.46167e-5	227.865
		5.66359e-5	229.625
		5.86552e-5	231.29
		6.06744e-5	232.867
		6.26936e-5	234.362
		6.47128e-5	235.782
		6.6732e-5	237.132
		6.87512e-5	238.417
		7.07704e-5	239.642
		7.27896e-5	240.811
		7.48088e-5	241.928
		7.68281e-5	242.995
		7.88473e-5	244.017
		8.08665e-5	244.997
		8.28857e-5	245.936
		8.49049e-5	246.837
		8.69241e-5	247.702
		8.89433e-5	248.534
		9.09625e-5	249.335
		9.29818e-5	250.106
		9.5001e-5	250.848
		9.70202e-5	251.564
		9.90394e-5	252.255
		1.01059e-4	252.921
		1.03078e-4	253.565
		1.05097e-4	254.188
		1.07116e-4	254.79
		1.09135e-4	255.372
		1.11155e-4	255.936
		1.13174e-4	256.482
		1.15193e-4	257.011
		1.17212e-4	257.524
		1.19232e-4	258.022
		1.21251e-4	258.505
		1.2327e-4	258.974
		1.25289e-4	259.429
		1.27308e-4	259.872
		1.29328e-4	260.302
		1.31347e-4	260.72
		1.33366e-4	261.127
		1.35385e-4	261.524
		1.37404e-4	261.909
		1.39424e-4	262.285
		1.41443e-4	262.651
		1.43462e-4	263.008
		1.45481e-4	263.355
		1.475e-4	263.694
		1.4952e-4	264.025
		1.51539e-4	264.348
		1.53558e-4	264.663
		1.55577e-4	264.971
		1.57597e-4	265.271
		1.59616e-4	265.565
		1.61635e-4	265.851
		1.63654e-4	266.132
		1.65673e-4	266.406
		1.67693e-4	266.674
		1.69712e-4	266.936
		1.71731e-4	267.193
		1.7375e-4	267.444
		1.75769e-4	267.69
		1.77789e-4	267.93
		1.79808e-4	268.166
		1.81827e-4	268.397
		1.83846e-4	268.623
		1.85866e-4	268.845
		1.87885e-4	269.062
		1.89904e-4	269.275
		1.91923e-4	269.484
		1.93942e-4	269.688
		1.95962e-4	269.889
		1.97981e-4	270.086
		2e-4	270.28
			
