Cycle=1_Fc=2-1_X	Cycle=1_Fc=2-1_Y	Cycle=2_Fc=2-1_X	Cycle=2_Fc=2-1_Y	Cycle=3_Fc=2-1_X	Cycle=3_Fc=2-1_Y	Cycle=4_Fc=2-1_X	Cycle=4_Fc=2-1_Y	Cycle=5_Fc=2-1_X	Cycle=5_Fc=2-1_Y	Cycle=6_Fc=2-1_X	Cycle=6_Fc=2-1_Y	Cycle=7_Fc=2-1_X	Cycle=7_Fc=2-1_Y	Cycle=8_Fc=2-1_X	Cycle=8_Fc=2-1_Y	Cycle=9_Fc=2-1_X	Cycle=9_Fc=2-1_Y	Cycle=10_Fc=2-1_X	Cycle=10_Fc=2-1_Y	Cycle=11_Fc=2-1_X	Cycle=11_Fc=2-1_Y	Cycle=12_Fc=2-1_X	Cycle=12_Fc=2-1_Y	Cycle=13_Fc=2-1_X	Cycle=13_Fc=2-1_Y	Cycle=14_Fc=2-1_X	Cycle=14_Fc=2-1_Y	Cycle=15_Fc=2-1_X	Cycle=15_Fc=2-1_Y	Cycle=16_Fc=2-1_X	Cycle=16_Fc=2-1_Y
0.1	0	0.1	15.9414	0.1	23.9609	0.1	26.5996	0.1	28.0586	0.1	28.6582	0.1	29.6602	0.1	30.082	0.1	30.9414	0.1	31.8027	0.1	33.1016	0.1	33.7012	0.1	35.541	0.1	36.3184	0.1	38.1602	0.1	39.4316
0.2	0	0.2	15.8516	0.2	23.7715	0.2	26.5391	0.2	27.9277	0.2	28.5273	0.2	29.5703	0.2	29.9531	0.2	30.7617	0.2	31.6934	0.2	33.0508	0.2	33.5703	0.2	35.3516	0.2	36.2168	0.2	38.0488	0.2	39.3418
0.3	0	0.3	15.7988	0.3	23.6895	0.3	26.5078	0.3	27.8867	0.3	28.4863	0.3	29.5391	0.3	29.9414	0.3	30.6699	0.3	31.6914	0.3	33.0391	0.3	33.498	0.3	35.3203	0.3	36.1465	0.3	38.0078	0.3	39.2813
0.4	0	0.4	15.7402	0.4	23.6504	0.4	26.4492	0.4	27.8672	0.4	28.4375	0.4	29.5	0.4	29.9121	0.4	30.6406	0.4	31.6328	0.4	32.9805	0.4	33.4688	0.4	35.2793	0.4	36.1074	0.4	37.9395	0.4	39.252
0.5	0	0.5	15.6797	0.5	23.5996	0.5	26.3984	0.5	27.8262	0.5	28.3965	0.5	29.4492	0.5	29.8613	0.5	30.5898	0.5	31.5918	0.5	32.9199	0.5	33.4277	0.5	35.209	0.5	36.0762	0.5	37.8672	0.5	39.2012
0.6	0	0.6	15.6699	0.6	23.5801	0.6	26.3984	0.6	27.7969	0.6	28.377	0.6	29.4199	0.6	29.8516	0.6	30.5703	0.6	31.5723	0.6	32.9102	0.6	33.3984	0.6	35.1895	0.6	36.0566	0.6	37.8477	0.6	39.1914
0.7	0	0.7	15.6504	0.7	23.5605	0.7	26.3789	0.7	27.7773	0.7	28.3477	0.7	29.3906	0.7	29.8223	0.7	30.5313	0.7	31.5313	0.7	32.8809	0.7	33.3691	0.7	35.1602	0.7	36.0469	0.7	37.8281	0.7	39.1602
0.8	0	0.8	15.6113	0.8	23.5117	0.8	26.3301	0.8	27.7285	0.8	28.3086	0.8	29.3613	0.8	29.7832	0.8	30.4922	0.8	31.4824	0.8	32.832	0.8	33.3203	0.8	35.1211	0.8	35.998	0.8	37.7793	0.8	39.1211
0.9	0	0.9	15.5703	0.9	23.4688	0.9	26.2891	0.9	27.6973	0.9	28.2773	0.9	29.3105	0.9	29.7422	0.9	30.4492	0.9	31.4609	0.9	32.7891	0.9	33.2891	0.9	35.0898	0.9	35.9668	0.9	37.7285	0.9	39.0801
1	0	1	15.5313	1	23.4395	1	26.25	1	27.6777	1	28.2578	1	29.2813	1	29.7227	1	30.4199	1	31.4219	1	32.7715	1	33.25	1	35.0605	1	35.9277	1	37.6895	1	39.0508
