X	Y	Req vs C_X	Req vs C_Y
9.8e-8	1.49342	9.8e-8	3.2736
1.95e-7	2.48821	2.11721e-6	10.0165
3.9e-7	3.20306	4.13642e-6	16.4456
3.9e-7	3.44404	6.15564e-6	22.5822
7.8e-7	5.48194	8.17485e-6	28.446
1.56e-6	8.33428	1.01941e-5	34.0546
3.125e-6	13.8091	1.22133e-5	39.4244
3.125e-6	13.9292	1.42325e-5	44.5703
6.25e-6	24.4987	1.62517e-5	49.5061
1.25e-5	42.0271	1.82709e-5	54.2443
2.5e-5	70.6806	2.02901e-5	58.7966
2.5e-5	70.6685	2.23093e-5	63.1737
5e-5	107.776	2.43285e-5	67.3855
1e-4	153.365	2.63478e-5	71.4413
2e-4	206.327	2.8367e-5	75.3495
		3.03862e-5	79.1181
		3.24054e-5	82.7543
		3.44246e-5	86.2651
		3.64438e-5	89.6568
		3.8463e-5	92.9354
		4.04822e-5	96.1065
		4.25015e-5	99.1752
		4.45207e-5	102.147
		4.65399e-5	105.025
		4.85591e-5	107.815
		5.05783e-5	110.52
		5.25975e-5	113.144
		5.46167e-5	115.691
		5.66359e-5	118.165
		5.86552e-5	120.567
		6.06744e-5	122.902
		6.26936e-5	125.172
		6.47128e-5	127.38
		6.6732e-5	129.528
		6.87512e-5	131.619
		7.07704e-5	133.655
		7.27896e-5	135.638
		7.48088e-5	137.57
		7.68281e-5	139.453
		7.88473e-5	141.289
		8.08665e-5	143.079
		8.28857e-5	144.826
		8.49049e-5	146.531
		8.69241e-5	148.195
		8.89433e-5	149.82
		9.09625e-5	151.408
		9.29818e-5	152.958
		9.5001e-5	154.474
		9.70202e-5	155.955
		9.90394e-5	157.404
		1.01059e-4	158.82
		1.03078e-4	160.206
		1.05097e-4	161.562
		1.07116e-4	162.889
		1.09135e-4	164.189
		1.11155e-4	165.461
		1.13174e-4	166.707
		1.15193e-4	167.927
		1.17212e-4	169.123
		1.19232e-4	170.295
		1.21251e-4	171.444
		1.2327e-4	172.57
		1.25289e-4	173.674
		1.27308e-4	174.757
		1.29328e-4	175.819
		1.31347e-4	176.862
		1.33366e-4	177.885
		1.35385e-4	178.889
		1.37404e-4	179.874
		1.39424e-4	180.842
		1.41443e-4	181.792
		1.43462e-4	182.725
		1.45481e-4	183.641
		1.475e-4	184.542
		1.4952e-4	185.427
		1.51539e-4	186.297
		1.53558e-4	187.151
		1.55577e-4	187.992
		1.57597e-4	188.818
		1.59616e-4	189.63
		1.61635e-4	190.429
		1.63654e-4	191.215
		1.65673e-4	191.988
		1.67693e-4	192.748
		1.69712e-4	193.497
		1.71731e-4	194.233
		1.7375e-4	194.958
		1.75769e-4	195.672
		1.77789e-4	196.374
		1.79808e-4	197.066
		1.81827e-4	197.747
		1.83846e-4	198.418
		1.85866e-4	199.079
		1.87885e-4	199.73
		1.89904e-4	200.371
		1.91923e-4	201.003
		1.93942e-4	201.625
		1.95962e-4	202.239
		1.97981e-4	202.844
		2e-4	203.44
			
