Cycle: 18  gp33 Y4F  98 nM_X	Cycle: 18  gp33 Y4F  98 nM_Y	Cycle: 19  gp33 Y4F  195 nM_X	Cycle: 19  gp33 Y4F  195 nM_Y	Cycle: 20  gp33 Y4F  390 nM_X	Cycle: 20  gp33 Y4F  390 nM_Y	Cycle: 21  gp33 Y4F  390 nM_X	Cycle: 21  gp33 Y4F  390 nM_Y	Cycle: 22  gp33 Y4F  780 nM_X	Cycle: 22  gp33 Y4F  780 nM_Y	Cycle: 23  gp33 Y4F  1560 nM_X	Cycle: 23  gp33 Y4F  1560 nM_Y	Cycle: 24  gp33 Y4F  3125 nM_X	Cycle: 24  gp33 Y4F  3125 nM_Y	Cycle: 25  gp33 Y4F  3125 nM_X	Cycle: 25  gp33 Y4F  3125 nM_Y	Cycle: 26  gp33 Y4F  6250 nM_X	Cycle: 26  gp33 Y4F  6250 nM_Y	Cycle: 27  gp33 Y4F  12500 nM_X	Cycle: 27  gp33 Y4F  12500 nM_Y	Cycle: 28  gp33 Y4F  25000 nM_X	Cycle: 28  gp33 Y4F  25000 nM_Y	Cycle: 29  gp33 Y4F  25000 nM_X	Cycle: 29  gp33 Y4F  25000 nM_Y	Cycle: 30  gp33 Y4F  50000 nM_X	Cycle: 30  gp33 Y4F  50000 nM_Y	Cycle: 31  gp33 Y4F  100000 nM_X	Cycle: 31  gp33 Y4F  100000 nM_Y
-60,0599	0,427933	-59,96	0,418011	-60,0599	0,227402	-59,96	0,119003	-60,0599	0,152603	-59,96	0,0630341	-59,96	0,0918701	-59,96	6,5155e-3	-59,96	-0,0468597	-59,96	1,4801e-3	-60,0599	-0,184525	-59,96	-0,219894	-60,0599	-0,346878	-60,0599	-0,401047
-59,96	0,42305	-59,86	0,419959	-59,96	0,24205	-59,86	0,12876	-59,96	0,157486	-59,86	0,0532594	-59,86	0,0918641	-59,86	0,0162721	-59,86	-0,0273376	-59,86	-8,29458e-3	-59,96	-0,158157	-59,86	-0,200372	-59,96	-0,340042	-59,96	-0,386398
-59,86	0,432806	-59,76	0,41998	-59,8599	0,232275	-59,7599	0,12291	-59,86	0,147711	-59,76	0,0435147	-59,76	0,0723538	-59,76	6,52742e-3	-59,7599	-0,0273285	-59,7599	-0,0278168	-59,86	-0,158166	-59,76	-0,210117	-59,86	-0,330286	-59,86	-0,366876
-59,7599	0,432816	-59,66	0,413132	-59,7599	0,212753	-59,66	0,137558	-59,7599	0,14772	-59,66	0,0874481	-59,66	0,0889435	-59,66	0,0524139	-59,66	-0,0224457	-59,66	-0,022934	-59,7599	-0,138626	-59,66	-0,215012	-59,7599	-0,330276	-59,7599	-0,366867
-59,66	0,468948	-59,56	0,394589	-59,66	0,217636	-59,56	0,126828	-59,66	0,162369	-59,56	0,0786715	-59,56	0,0782137	-59,56	0,0319185	-59,56	-0,0214567	-59,56	-0,0434294	-59,66	-0,114212	-59,56	-0,223788	-59,66	-0,315628	-59,66	-0,352219
-59,5599	0,448441	-59,46	0,388727	-59,5599	0,206894	-59,46	0,130722	-59,5599	0,132095	-59,46	0,0825653	-59,46	0,0821171	-59,46	0,0260468	-59,46	-0,0175629	-59,46	-0,0590668	-59,5599	-0,124954	-59,46	-0,239426	-59,5599	-0,355667	-59,5599	-0,353195
-59,46	0,442581	-59,36	0,398489	-59,46	0,202988	-59,36	0,130728	-59,46	0,126236	-59,36	0,0728056	-59,36	0,0528166	-59,36	0,0260527	-59,36	-0,0175569	-59,36	-0,0375764	-59,46	-0,130814	-59,36	-0,249185	-59,46	-0,361526	-59,46	-0,388351
-59,36	0,452353	-59,26	0,369198	-59,3599	0,193222	-59,2599	0,120956	-59,36	0,136008	-59,26	0,0747647	-59,26	0,0411038	-59,26	6,52742e-3	-59,2599	-0,0273285	-59,2599	-0,0668793	-59,36	-0,130808	-59,26	-0,239414	-59,36	-0,361521	-59,36	-0,37858
-59,2599	0,432816	-59,16	0,369186	-59,2599	0,173691	-59,16	0,130722	-59,2599	0,11647	-59,16	0,0845184	-59,16	0,0410919	-59,16	6,5155e-3	-59,16	-0,0175629	-59,16	-0,0571136	-59,2599	-0,140579	-59,16	-0,239426	-59,2599	-0,341995	-59,2599	-0,388351
-59,16	0,444534	-59,06	0,359427	-59,16	0,161972	-59,06	0,120962	-59,16	0,126236	-59,06	0,0747588	-59,06	0,0235198	-59,06	6,52146e-3	-59,06	-0,0273225	-59,06	-0,0473421	-59,16	-0,121048	-59,06	-0,219888	-59,16	-0,320511	-59,16	-0,359055
