X	Y	Req vs C_X	Req vs C_Y
9.8e-8	-0.438009	9.8e-8	0.024676
1.95e-7	-0.0327289	1.10711e-6	1.16831
3.9e-7	0.397994	2.11622e-6	2.30807
3.9e-7	0.372173	3.12533e-6	3.44397
7.8e-7	1.00591	4.13444e-6	4.57603
1.56e-6	1.9722	5.14356e-6	5.70427
3.125e-6	3.12052	6.15267e-6	6.8287
3.125e-6	3.1192	7.16178e-6	7.94935
6.25e-6	6.67363	8.17089e-6	9.06624
1.25e-5	14.9652	9.18e-6	10.1794
2.5e-5	27.4086	1.01891e-5	11.2888
2.5e-5	27.3661	1.11982e-5	12.3945
5e-5	51.4694	1.22073e-5	13.4965
1e-4	97.2603	1.32164e-5	14.5949
		1.42256e-5	15.6896
		1.52347e-5	16.7807
		1.62438e-5	17.8681
		1.72529e-5	18.952
		1.8262e-5	20.0323
		1.92711e-5	21.109
		2.02802e-5	22.1821
		2.12893e-5	23.2518
		2.22984e-5	24.3179
		2.33076e-5	25.3806
		2.43167e-5	26.4397
		2.53258e-5	27.4954
		2.63349e-5	28.5477
		2.7344e-5	29.5965
		2.83531e-5	30.642
		2.93622e-5	31.684
		3.03713e-5	32.7227
		3.13804e-5	33.758
		3.23896e-5	34.7899
		3.33987e-5	35.8186
		3.44078e-5	36.8439
		3.54169e-5	37.866
		3.6426e-5	38.8847
		3.74351e-5	39.9002
		3.84442e-5	40.9125
		3.94533e-5	41.9215
		4.04624e-5	42.9273
		4.14716e-5	43.9299
		4.24807e-5	44.9293
		4.34898e-5	45.9256
		4.44989e-5	46.9186
		4.5508e-5	47.9086
		4.65171e-5	48.8954
		4.75262e-5	49.8791
		4.85353e-5	50.8598
		4.95444e-5	51.8373
		5.05536e-5	52.8118
		5.15627e-5	53.7832
		5.25718e-5	54.7516
		5.35809e-5	55.7169
		5.459e-5	56.6793
		5.55991e-5	57.6387
		5.66082e-5	58.595
		5.76173e-5	59.5484
		5.86264e-5	60.4989
		5.96356e-5	61.4464
		6.06447e-5	62.391
		6.16538e-5	63.3327
		6.26629e-5	64.2714
		6.3672e-5	65.2073
		6.46811e-5	66.1403
		6.56902e-5	67.0705
		6.66993e-5	67.9978
		6.77084e-5	68.9223
		6.87176e-5	69.8439
		6.97267e-5	70.7628
		7.07358e-5	71.6788
		7.17449e-5	72.5921
		7.2754e-5	73.5026
		7.37631e-5	74.4104
		7.47722e-5	75.3154
		7.57813e-5	76.2176
		7.67904e-5	77.1172
		7.77996e-5	78.014
		7.88087e-5	78.9082
		7.98178e-5	79.7996
		8.08269e-5	80.6884
		8.1836e-5	81.5746
		8.28451e-5	82.458
		8.38542e-5	83.3389
		8.48633e-5	84.2171
		8.58724e-5	85.0927
		8.68816e-5	85.9658
		8.78907e-5	86.8362
		8.88998e-5	87.704
		8.99089e-5	88.5693
		9.0918e-5	89.4321
		9.19271e-5	90.2923
		9.29362e-5	91.1499
		9.39453e-5	92.005
		9.49544e-5	92.8577
		9.59636e-5	93.7078
		9.69727e-5	94.5554
		9.79818e-5	95.4006
		9.89909e-5	96.2433
		1e-4	97.0836
			
