X	Y	Req vs C_X	Req vs C_Y
1,95e-7	1,19101	1,95e-7	0,931775
3,9e-7	2,81162	1,20313e-6	9,12021
7,8e-7	5,89541	2,21126e-6	16,8755
1,56e-6	12,0279	3,21939e-6	24,2311
3,125e-6	23,431	4,22753e-6	31,2173
6,25e-6	43,7288	5,23566e-6	37,861
1,25e-5	76,4599	6,24379e-6	44,1869
2,5e-5	123,946	7,25192e-6	50,2173
5e-5	177,262	8,26005e-6	55,9724
1e-4	221,369	9,26818e-6	61,4706
		1,02763e-5	66,7288
		1,12844e-5	71,7624
		1,22926e-5	76,5853
		1,33007e-5	81,2107
		1,43088e-5	85,6503
		1,5317e-5	89,9152
		1,63251e-5	94,0154
		1,73332e-5	97,9604
		1,83414e-5	101,759
		1,93495e-5	105,418
		2,03576e-5	108,947
		2,13658e-5	112,351
		2,23739e-5	115,638
		2,3382e-5	118,813
		2,43902e-5	121,881
		2,53983e-5	124,849
		2,64064e-5	127,721
		2,74145e-5	130,501
		2,84227e-5	133,194
		2,94308e-5	135,804
		3,04389e-5	138,335
		3,14471e-5	140,79
		3,24552e-5	143,172
		3,34633e-5	145,486
		3,44715e-5	147,733
		3,54796e-5	149,916
		3,64877e-5	152,039
		3,74959e-5	154,103
		3,8504e-5	156,112
		3,95121e-5	158,066
		4,05203e-5	159,97
		4,15284e-5	161,823
		4,25365e-5	163,629
		4,35446e-5	165,39
		4,45528e-5	167,106
		4,55609e-5	168,779
		4,6569e-5	170,412
		4,75772e-5	172,005
		4,85853e-5	173,56
		4,95934e-5	175,079
		5,06016e-5	176,562
		5,16097e-5	178,011
		5,26178e-5	179,427
		5,3626e-5	180,811
		5,46341e-5	182,164
		5,56422e-5	183,488
		5,66504e-5	184,782
		5,76585e-5	186,049
		5,86666e-5	187,289
		5,96747e-5	188,503
		6,06829e-5	189,691
		6,1691e-5	190,854
		6,26991e-5	191,994
		6,37073e-5	193,111
		6,47154e-5	194,206
		6,57235e-5	195,278
		6,67317e-5	196,33
		6,77398e-5	197,361
		6,87479e-5	198,373
		6,97561e-5	199,365
		7,07642e-5	200,338
		7,17723e-5	201,293
		7,27805e-5	202,23
		7,37886e-5	203,151
		7,47967e-5	204,054
		7,58048e-5	204,941
		7,6813e-5	205,812
		7,78211e-5	206,668
		7,88292e-5	207,509
		7,98374e-5	208,335
		8,08455e-5	209,146
		8,18536e-5	209,944
		8,28618e-5	210,729
		8,38699e-5	211,5
		8,4878e-5	212,258
		8,58862e-5	213,004
		8,68943e-5	213,737
		8,79024e-5	214,459
		8,89106e-5	215,169
		8,99187e-5	215,867
		9,09268e-5	216,555
		9,19349e-5	217,231
		9,29431e-5	217,897
		9,39512e-5	218,553
		9,49593e-5	219,198
		9,59675e-5	219,834
		9,69756e-5	220,46
		9,79837e-5	221,077
		9,89919e-5	221,684
		1e-4	222,282
			
