Cycle: 3  SMARTA2-9C  195 nM_X	Cycle: 3  SMARTA2-9C  195 nM_Y	Cycle: 4  SMARTA2-9C  390 nM_X	Cycle: 4  SMARTA2-9C  390 nM_Y	Cycle: 5  SMARTA2-9C  780 nM_X	Cycle: 5  SMARTA2-9C  780 nM_Y	Cycle: 6  SMARTA2-9C  1560 nM_X	Cycle: 6  SMARTA2-9C  1560 nM_Y	Cycle: 7  SMARTA2-9C  3125 nM_X	Cycle: 7  SMARTA2-9C  3125 nM_Y	Cycle: 8  SMARTA2-9C  6250 nM_X	Cycle: 8  SMARTA2-9C  6250 nM_Y	Cycle: 9  SMARTA2-9C  12500 nM_X	Cycle: 9  SMARTA2-9C  12500 nM_Y	Cycle: 10  SMARTA2-9C  25000 nM_X	Cycle: 10  SMARTA2-9C  25000 nM_Y	Cycle: 11  SMARTA2-9C  50000 nM_X	Cycle: 11  SMARTA2-9C  50000 nM_Y	Cycle: 12  SMARTA2-9C  100000 nM_X	Cycle: 12  SMARTA2-9C  100000 nM_Y
-59,96	-0,0114746	-59,96	0,105469	-59,86	0,232635	-59,86	0,152985	-59,96	0,23999	-59,96	0,303162	-59,86	0,335114	-59,96	0,353149	-59,96	0,363647	-59,96	0,361816
-59,86	-8,57544e-3	-59,86	0,108368	-59,76	0,217983	-59,76	0,136379	-59,86	0,233124	-59,86	0,300201	-59,76	0,338039	-59,8599	0,336586	-59,86	0,366547	-59,8599	0,366737
-59,7599	-0,0329208	-59,76	0,123013	-59,66	0,226807	-59,66	0,13739	-59,76	0,216518	-59,7599	0,3032	-59,66	0,348816	-59,7599	0,341469	-59,7599	0,351967	-59,7599	0,381386
-59,66	-0,0339355	-59,66	0,12207	-59,56	0,227753	-59,56	0,136383	-59,66	0,207764	-59,66	0,304138	-59,56	0,357574	-59,66	0,342407	-59,66	0,360718	-59,66	0,399902
-59,56	-0,0329895	-59,56	0,123016	-59,46	0,237476	-59,46	0,167591	-59,56	0,216522	-59,56	0,322662	-59,46	0,388783	-59,5599	0,351238	-59,5599	0,361736	-59,5599	0,400921
-59,46	-0,0212402	-59,46	0,113281	-59,36	0,227745	-59,36	0,177391	-59,46	0,228271	-59,46	0,324646	-59,36	0,388817	-59,46	0,362915	-59,46	0,381226	-59,46	0,410645
-59,36	-0,0427628	-59,36	0,113243	-59,26	0,232632	-59,26	0,184231	-59,36	0,249718	-59,36	0,33242	-59,26	0,385891	-59,3599	0,360996	-59,36	0,371422	-59,3599	0,43021
-59,2599	-0,0358582	-59,26	0,120083	-59,16	0,234619	-59,16	0,184265	-59,26	0,235073	-59,2599	0,329559	-59,16	0,385925	-59,2599	0,348297	-59,2599	0,368561	-59,2599	0,425323
-59,16	-0,0476074	-59,16	0,110352	-59,06	0,247276	-59,06	0,177391	-59,16	0,244873	-59,16	0,308044	-59,06	0,398582	-59,16	0,356079	-59,16	0,358765	-59,16	0,427246
-59,06	-0,0525284	-59,06	0,103477	-58,96	0,238453	-58,96	0,168568	-59,06	0,237999	-59,06	0,303123	-58,96	0,40929	-59,0599	0,360996	-59,0599	0,351963	-59,0599	0,420444
-58,96	-0,0437012	-58,96	0,114258	-58,86	0,227753	-58,86	0,167633	-58,96	0,227295	-58,96	0,313904	-58,86	0,408356	-58,96	0,373657	-58,96	0,341187	-58,96	0,421387
-58,86	-0,0329895	-58,86	0,123016	-58,76	0,213104	-58,76	0,152985	-58,86	0,238007	-58,86	0,305084	-58,76	0,393707	-58,8599	0,372715	-58,86	0,332367	-58,8599	0,43021
-58,7599	-0,0260811	-58,76	0,108368	-58,66	0,2229	-58,66	0,162781	-58,76	0,231171	-58,7599	0,288555	-58,66	0,393738	-58,7599	0,36784	-58,7599	0,325603	-58,7599	0,415569
-58,66	3,17383e-3	-58,66	0,118164	-58,56	0,203339	-58,56	0,16275	-58,66	0,244873	-58,66	0,290466	-58,56	0,393707	-58,66	0,387329	-58,66	0,33728	-58,66	0,405762
