X	Y	Req vs C_X	Req vs C_Y
9,8e-8	0,350064	9,8e-8	-0,896238
1,95e-7	0,56153	1,10711e-6	7,53322
3,9e-7	1,84676	2,11622e-6	15,5045
7,8e-7	4,4027	3,12533e-6	23,0541
1,56e-6	10,1133	4,13444e-6	30,2145
3,125e-6	21,6213	5,14356e-6	37,0151
6,25e-6	43,9687	6,15267e-6	43,4823
1,25e-5	78,8902	7,16178e-6	49,6401
2,5e-5	124,645	8,17089e-6	55,5101
5e-5	175,614	9,18e-6	61,112
1e-4	222,566	1,01891e-5	66,4639
		1,11982e-5	71,5821
		1,22073e-5	76,4816
		1,32164e-5	81,176
		1,42256e-5	85,6781
		1,52347e-5	89,9993
		1,62438e-5	94,1504
		1,72529e-5	98,1413
		1,8262e-5	101,981
		1,92711e-5	105,678
		2,02802e-5	109,24
		2,12893e-5	112,674
		2,22984e-5	115,988
		2,33076e-5	119,186
		2,43167e-5	122,276
		2,53258e-5	125,263
		2,63349e-5	128,151
		2,7344e-5	130,946
		2,83531e-5	133,652
		2,93622e-5	136,273
		3,03713e-5	138,813
		3,13804e-5	141,276
		3,23896e-5	143,665
		3,33987e-5	145,984
		3,44078e-5	148,235
		3,54169e-5	150,422
		3,6426e-5	152,547
		3,74351e-5	154,613
		3,84442e-5	156,622
		3,94533e-5	158,577
		4,04624e-5	160,479
		4,14716e-5	162,331
		4,24807e-5	164,135
		4,34898e-5	165,893
		4,44989e-5	167,606
		4,5508e-5	169,276
		4,65171e-5	170,905
		4,75262e-5	172,494
		4,85353e-5	174,044
		4,95444e-5	175,558
		5,05536e-5	177,035
		5,15627e-5	178,479
		5,25718e-5	179,889
		5,35809e-5	181,267
		5,459e-5	182,614
		5,55991e-5	183,931
		5,66082e-5	185,219
		5,76173e-5	186,478
		5,86264e-5	187,711
		5,96356e-5	188,918
		6,06447e-5	190,099
		6,16538e-5	191,255
		6,26629e-5	192,387
		6,3672e-5	193,497
		6,46811e-5	194,583
		6,56902e-5	195,648
		6,66993e-5	196,692
		6,77084e-5	197,716
		6,87176e-5	198,719
		6,97267e-5	199,703
		7,07358e-5	200,669
		7,17449e-5	201,616
		7,2754e-5	202,545
		7,37631e-5	203,457
		7,47722e-5	204,353
		7,57813e-5	205,232
		7,67904e-5	206,095
		7,77996e-5	206,943
		7,88087e-5	207,776
		7,98178e-5	208,594
		8,08269e-5	209,397
		8,1836e-5	210,187
		8,28451e-5	210,964
		8,38542e-5	211,727
		8,48633e-5	212,477
		8,58724e-5	213,215
		8,68816e-5	213,941
		8,78907e-5	214,655
		8,88998e-5	215,357
		8,99089e-5	216,048
		9,0918e-5	216,727
		9,19271e-5	217,396
		9,29362e-5	218,055
		9,39453e-5	218,703
		9,49544e-5	219,341
		9,59636e-5	219,969
		9,69727e-5	220,587
		9,79818e-5	221,196
		9,89909e-5	221,796
		1e-4	222,387
			
