Cycle: 3  SMARTA2-9C  98 nM_X	Cycle: 3  SMARTA2-9C  98 nM_Y	Cycle: 4  SMARTA2-9C  195 nM_X	Cycle: 4  SMARTA2-9C  195 nM_Y	Cycle: 5  SMARTA2-9C  390 nM_X	Cycle: 5  SMARTA2-9C  390 nM_Y	Cycle: 6  SMARTA2-9C  780 nM_X	Cycle: 6  SMARTA2-9C  780 nM_Y	Cycle: 7  SMARTA2-9C  1560 nM_X	Cycle: 7  SMARTA2-9C  1560 nM_Y	Cycle: 8  SMARTA2-9C  3125 nM_X	Cycle: 8  SMARTA2-9C  3125 nM_Y	Cycle: 9  SMARTA2-9C  6250 nM_X	Cycle: 9  SMARTA2-9C  6250 nM_Y	Cycle: 10  SMARTA2-9C  12500 nM_X	Cycle: 10  SMARTA2-9C  12500 nM_Y	Cycle: 11  SMARTA2-9C  25000 nM_X	Cycle: 11  SMARTA2-9C  25000 nM_Y	Cycle: 12  SMARTA2-9C  50000 nM_X	Cycle: 12  SMARTA2-9C  50000 nM_Y	Cycle: 13  SMARTA2-9C  100000 nM_X	Cycle: 13  SMARTA2-9C  100000 nM_Y
-59,96	-0,177307	-59,96	-0,229431	-59,96	-0,324524	-59,96	-0,280884	-59,96	-0,233582	-59,96	-0,297363	-59,96	-0,416077	-59,96	-0,596008	-59,96	-0,787785	-59,96	-0,997498	-59,96	-1,18427
-59,86	-0,161743	-59,86	-0,22168	-59,86	-0,318726	-59,86	-0,284851	-59,86	-0,227783	-59,86	-0,291565	-59,8599	-0,447315	-59,86	-0,599976	-59,86	-0,801453	-59,86	-1,00146	-59,86	-1,19012
-59,7599	-0,150936	-59,7599	-0,210873	-59,7599	-0,300106	-59,7599	-0,266232	-59,76	-0,207283	-59,7599	-0,282711	-59,7599	-0,438534	-59,76	-0,581429	-59,76	-0,792671	-59,7599	-0,990658	-59,76	-1,18916
-59,66	-0,149994	-59,66	-0,202118	-59,66	-0,308929	-59,66	-0,255524	-59,66	-0,217987	-59,66	-0,281769	-59,66	-0,437592	-59,66	-0,570648	-59,66	-0,791656	-59,66	-0,97995	-59,66	-1,18033
-59,5599	-0,153858	-59,56	-0,215828	-59,5599	-0,295216	-59,5599	-0,261341	-59,56	-0,210213	-59,5599	-0,277821	-59,5599	-0,414112	-59,56	-0,576546	-59,56	-0,766304	-59,56	-0,974129	-59,56	-1,17451
-59,46	-0,125546	-59,46	-0,187435	-59,46	-0,274715	-59,46	-0,231075	-59,46	-0,191586	-59,46	-0,237789	-59,46	-0,393612	-59,46	-0,555965	-59,46	-0,73798	-59,46	-0,945736	-59,46	-1,15595
-59,36	-0,120735	-59,36	-0,172859	-59,36	-0,279671	-59,36	-0,206734	-59,36	-0,196541	-59,36	-0,244698	-59,3599	-0,378967	-59,36	-0,541389	-59,36	-0,740913	-59,36	-0,960457	-59,36	-1,16084
-59,2599	-0,131405	-59,2599	-0,173763	-59,2599	-0,280575	-59,2599	-0,207638	-59,26	-0,197517	-59,2599	-0,253414	-59,2599	-0,389706	-59,26	-0,542366	-59,26	-0,722359	-59,2599	-0,961361	-59,26	-1,17158
-59,16	-0,110931	-59,16	-0,163055	-59,16	-0,279633	-59,16	-0,204742	-59,16	-0,186737	-59,16	-0,242706	-59,16	-0,378998	-59,16	-0,519867	-59,16	-0,721344	-59,16	-0,960419	-59,16	-1,15884
-59,0599	-0,11676	-59,06	-0,147461	-59,0599	-0,26593	-59,0599	-0,179321	-59,06	-0,182861	-59,0599	-0,227051	-59,0599	-0,363342	-59,06	-0,494507	-59,06	-0,717468	-59,06	-0,946777	-59,06	-1,12372
-58,96	-0,113819	-58,96	-0,158131	-58,96	-0,284473	-58,96	-0,199818	-58,96	-0,201344	-58,96	-0,247547	-58,96	-0,381886	-58,96	-0,514942	-58,96	-0,736027	-58,96	-0,96526	-58,96	-1,154
-58,86	-0,10804	-58,86	-0,140633	-58,86	-0,259163	-58,86	-0,195992	-58,86	-0,187752	-58,86	-0,232002	-58,8599	-0,358459	-58,86	-0,489632	-58,86	-0,732124	-58,86	-0,951668	-58,86	-1,12861
-58,7599	-0,114815	-58,7599	-0,147408	-58,7599	-0,244453	-58,7599	-0,210579	-58,76	-0,192635	-58,7599	-0,217293	-58,7599	-0,334053	-58,76	-0,486702	-58,76	-0,717476	-58,7599	-0,92524	-58,76	-1,11396
-58,66	-0,123627	-58,66	-0,165985	-58,66	-0,27475	-58,66	-0,211578	-58,66	-0,203339	-58,66	-0,237823	-58,66	-0,342865	-58,66	-0,485687	-58,66	-0,716461	-58,66	-0,934052	-58,66	-1,1149
-58,5599	-0,126511	-58,56	-0,188477	-58,5599	-0,285446	-58,5599	-0,23204	-58,56	-0,19458	-58,5599	-0,238754	-58,5599	-0,355515	-58,56	-0,49646	-58,56	-0,738953	-58,56	-0,937012	-58,56	-1,12567
-58,46	-0,110901	-58,46	-0,182556	-58,46	-0,281555	-58,46	-0,216431	-58,46	-0,18866	-58,46	-0,225098	-58,46	-0,34967	-58,46	-0,482727	-58,46	-0,721382	-58,46	-0,91156	-58,46	-1,11201
-58,36	-0,121708	-58,36	-0,183598	-58,36	-0,270878	-58,36	-0,227238	-58,36	-0,197514	-58,36	-0,233952	-58,3599	-0,370178	-58,36	-0,481815	-58,36	-0,732121	-58,36	-0,912601	-58,36	-1,11103
-58,2599	-0,145077	-58,2599	-0,218685	-58,2599	-0,284481	-58,2599	-0,242794	-58,26	-0,191654	-58,2599	-0,237789	-58,2599	-0,364315	-58,26	-0,49744	-58,26	-0,736027	-58,2599	-0,906673	-58,26	-1,10517
-58,16	-0,131439	-58,16	-0,222626	-58,16	-0,280609	-58,16	-0,244781	-58,16	-0,175995	-58,16	-0,233917	-58,16	-0,368256	-58,16	-0,481781	-58,16	-0,732086	-58,16	-0,900848	-58,16	-1,07974
-58,0599	-0,115791	-58,06	-0,218758	-58,0599	-0,284492	-58,0599	-0,229134	-58,06	-0,172127	-58,0599	-0,226082	-58,0599	-0,362373	-58,06	-0,474007	-58,06	-0,736031	-58,06	-0,895027	-58,06	-1,10322
-57,96	-0,105038	-57,96	-0,227474	-57,96	-0,295223	-57,96	-0,239864	-57,96	-0,190609	-57,96	-0,236813	-57,96	-0,38287	-57,96	-0,474911	-57,96	-0,756535	-57,96	-0,903744	-57,96	-1,11396
-57,86	-0,111938	-57,86	-0,244141	-57,86	-0,309937	-57,86	-0,225281	-57,86	-0,187744	-57,86	-0,222229	-57,8599	-0,368217	-57,86	-0,460327	-57,86	-0,732117	-57,86	-0,910645	-57,86	-1,10907
-57,7599	-0,108952	-57,7599	-0,231388	-57,7599	-0,308903	-57,7599	-0,2262	-57,76	-0,167244	-57,7599	-0,252445	-57,7599	-0,378971	-57,76	-0,461311	-57,76	-0,711617	-57,7599	-0,929142	-57,76	-1,11005
-57,66	-0,104095	-57,66	-0,236298	-57,66	-0,323578	-57,66	-0,221344	-57,66	-0,172089	-57,66	-0,247589	-57,66	-0,393646	-57,66	-0,475922	-57,66	-0,72818	-57,66	-0,94577	-57,66	-1,12466
-57,5599	-0,1021	-57,56	-0,234375	-57,5599	-0,321583	-57,5599	-0,248646	-57,56	-0,187744	-57,5599	-0,243641	-57,5599	-0,391651	-57,56	-0,473999	-57,56	-0,732117	-57,56	-0,932129	-57,56	-1,12079
-57,46	-0,116764	-57,46	-0,227482	-57,46	-0,304996	-57,46	-0,251591	-57,46	-0,182804	-57,46	-0,248539	-57,46	-0,365299	-57,46	-0,467106	-57,46	-0,727242	-57,46	-0,917423	-57,46	-1,10615
-57,36	-0,111938	-57,36	-0,212891	-57,36	-0,300171	-57,36	-0,258484	-57,36	-0,187744	-57,36	-0,263245	-57,3599	-0,360413	-57,36	-0,483765	-57,36	-0,732117	-57,36	-0,922363	-57,36	-1,12079
-57,2599	-0,109921	-57,2599	-0,222591	-57,2599	-0,319637	-57,2599	-0,254513	-57,26	-0,185791	-57,2599	-0,282711	-57,2599	-0,346737	-57,26	-0,489624	-57,26	-0,730164	-57,2599	-0,939877	-57,26	-1,12079
-57,16	-0,105072	-57,16	-0,217743	-57,16	-0,314789	-57,16	-0,249664	-57,16	-0,212128	-57,16	-0,287628	-57,16	-0,343842	-57,16	-0,506195	-57,16	-0,717438	-57,16	-0,956512	-57,16	-1,12369
-57,0599	-0,126514	-57,06	-0,249023	-57,0599	-0,326466	-57,0599	-0,251575	-57,06	-0,241455	-57,0599	-0,297352	-57,0599	-0,353565	-57,06	-0,535522	-57,06	-0,746765	-57,06	-0,95459	-57,06	-1,11395
-56,96	-0,134338	-56,96	-0,256775	-56,96	-0,304993	-56,96	-0,239868	-56,96	-0,241394	-56,96	-0,275879	-56,96	-0,332092	-56,96	-0,525696	-56,96	-0,715519	-56,96	-0,934998	-56,96	-1,08271
-56,86	-0,145142	-56,86	-0,269531	-56,86	-0,296265	-56,86	-0,242859	-56,86	-0,232666	-56,86	-0,269104	-56,8599	-0,325245	-56,86	-0,565796	-56,86	-0,718445	-56,86	-0,906738	-56,86	-1,08563
-56,7599	-0,125549	-56,7599	-0,257751	-56,7599	-0,272766	-56,7599	-0,240845	-56,76	-0,222904	-56,7599	-0,257324	-56,7599	-0,313538	-56,76	-0,556034	-56,76	-0,716496	-56,7599	-0,894958	-56,76	-1,05439
-56,66	-0,141205	-56,66	-0,273407	-56,66	-0,270844	-56,66	-0,266266	-56,66	-0,238495	-56,66	-0,253448	-56,66	-0,309662	-56,66	-0,561859	-56,66	-0,734039	-56,66	-0,893036	-56,66	-1,03091
-56,5599	-0,127487	-56,56	-0,277344	-56,5599	-0,255173	-56,5599	-0,272079	-56,56	-0,203369	-56,5599	-0,259262	-56,5599	-0,295944	-56,56	-0,528687	-56,56	-0,69696	-56,56	-0,887207	-56,56	-1,01727
-56,46	-0,110897	-56,46	-0,272396	-56,46	-0,240536	-56,46	-0,275021	-56,46	-0,186703	-56,46	-0,242672	-56,46	-0,269588	-56,46	-0,510067	-56,46	-0,672554	-56,46	-0,882259	-56,46	-1,00068
-56,36	-0,109993	-56,36	-0,261726	-56,36	-0,229866	-56,36	-0,285835	-56,36	-0,166267	-56,36	-0,243721	-56,3599	-0,270569	-56,36	-0,511116	-56,36	-0,661812	-56,36	-0,861824	-56,36	-0,999702
-56,2599	-0,110897	-56,2599	-0,291927	-56,2599	-0,238583	-56,2599	-0,306271	-56,26	-0,186775	-56,2599	-0,262203	-56,2599	-0,28912	-56,26	-0,500374	-56,26	-0,670601	-56,2599	-0,870541	-56,26	-0,979195
-56,16	-0,129486	-56,16	-0,310516	-56,16	-0,229828	-56,16	-0,307281	-56,16	-0,187714	-56,16	-0,282745	-56,16	-0,299896	-56,16	-0,489594	-56,16	-0,661774	-56,16	-0,871552	-56,16	-0,968414
-56,0599	-0,1353	-56,06	-0,306648	-56,0599	-0,223923	-56,0599	-0,311142	-56,06	-0,172127	-56,0599	-0,267075	-56,0599	-0,313522	-56,06	-0,47596	-56,06	-0,636421	-56,06	-0,875496	-56,06	-0,952827
-55,96	-0,148987	-55,96	-0,292908	-55,96	-0,180969	-55,96	-0,305298	-55,96	-0,136902	-55,96	-0,26123	-55,96	-0,329163	-55,96	-0,470032	-55,96	-0,603226	-55,96	-0,881287	-55,96	-0,958694
-55,86	-0,156868	-55,86	-0,287117	-55,86	-0,184944	-55,86	-0,235054	-55,86	-0,133064	-55,86	-0,288643	-55,8599	-0,342815	-55,86	-0,47596	-55,86	-0,597359	-55,86	-0,875496	-55,86	-0,964546
-55,7599	-0,143143	-55,7599	-0,241348	-55,7599	-0,237625	-55,7599	-0,221329	-55,76	-0,129166	-55,7599	-0,274918	-55,7599	-0,340897	-55,76	-0,472061	-55,76	-0,542679	-55,7599	-0,902786	-55,76	-0,954788
-55,66	-0,179291	-55,66	-0,250946	-55,66	-0,244476	-55,66	-0,239899	-55,66	-0,199615	-55,66	-0,242706	-55,66	-0,32431	-55,66	-0,502289	-55,66	-0,634613	-55,66	-0,876434	-55,66	-0,959625
-55,5599	-0,101147	-55,56	-0,262695	-55,5599	-0,228832	-55,5599	-0,214489	-55,56	-0,196533	-55,5599	-0,232922	-55,5599	-0,339916	-55,56	-0,501526	-55,56	-0,621765	-55,56	-0,872559	-55,56	-0,94989
-55,46	-0,122639	-55,46	-0,280231	-55,46	-0,207355	-55,46	-0,271137	-55,46	-0,194538	-55,46	-0,248554	-55,46	-0,361408	-55,46	-0,512043	-55,46	-0,639336	-55,46	-0,870564	-55,46	-0,963554
-55,36	-0,137314	-55,36	-0,302719	-55,36	-0,248215	-55,36	-0,295578	-55,36	-0,249069	-55,36	-0,272995	-55,3599	-0,405281	-55,36	-0,542343	-55,36	-0,657883	-55,36	-0,877426	-55,36	-0,961777
-55,2599	-0,198414	-55,2599	-0,311085	-55,2599	-0,191334	-55,2599	-0,184803	-55,26	-0,200066	-55,2599	-0,285267	-55,2599	-0,450855	-55,26	-0,537895	-55,26	-0,602654	-55,2599	-0,927601	-55,26	-1,00109
-55,16	-0,186707	-55,16	-0,293518	-55,16	-0,179626	-55,16	-0,148499	-55,16	-0,162903	-55,16	-0,264587	-55,16	-0,423523	-55,16	-0,517517	-55,16	-0,605713	-55,16	-0,897522	-55,16	-0,984619
-55,0599	-0,186085	-55,06	-0,297661	-55,0599	-0,181751	-55,0599	-0,135365	-55,06	-0,167046	-55,0599	-0,237782	-55,0599	-0,417835	-55,06	-0,515007	-55,06	-0,619621	-55,06	-0,887199	-55,06	-0,982109
-54,96	-0,149971	-54,96	-0,265755	-54,96	-0,165535	-54,96	-0,108223	-54,96	-0,140999	-54,96	-0,214546	-54,96	-0,384041	-54,96	-0,484688	-54,96	-0,619019	-54,96	-0,847115	-54,96	-0,983093
-54,86	-0,126587	-54,86	-0,256836	-54,86	-0,162476	-54,86	-0,0817261	-54,86	-0,145752	-54,86	-0,201721	-54,8599	-0,367249	-54,86	-0,490601	-54,86	-0,64209	-54,86	-0,833496	-54,86	-0,990906
-54,7599	-0,0987816	-54,7599	-0,232937	-54,7599	-0,145229	-54,7599	-0,0402489	-54,76	-0,13443	-54,7599	-0,168056	-54,7599	-0,34341	-54,76	-0,453094	-54,76	-0,648712	-54,7599	-0,829128	-54,76	-0,999115
-54,66	-0,0646362	-54,66	-0,206604	-54,66	-0,137634	-54,66	-0,0158691	-54,66	-0,115051	-54,66	-0,141724	-54,66	-0,302246	-54,66	-0,435303	-54,66	-0,640686	-54,66	-0,789124	-54,66	-0,992249
-54,5599	-0,0611	-54,56	-0,169922	-54,5599	-0,129032	-54,5599	-2,56729e-3	-54,56	-0,106506	-54,5599	-0,108891	-54,5599	-0,276432	-54,56	-0,413452	-54,56	-0,63446	-54,56	-0,774719	-54,56	-0,989929
