Cycle: 15  SMARTA2-9V  195 nM_X	Cycle: 15  SMARTA2-9V  195 nM_Y	Cycle: 16  SMARTA2-9V  390 nM_X	Cycle: 16  SMARTA2-9V  390 nM_Y	Cycle: 17  SMARTA2-9V  780 nM_X	Cycle: 17  SMARTA2-9V  780 nM_Y	Cycle: 18  SMARTA2-9V  1560 nM_X	Cycle: 18  SMARTA2-9V  1560 nM_Y	Cycle: 19  SMARTA2-9V  3125 nM_X	Cycle: 19  SMARTA2-9V  3125 nM_Y	Cycle: 20  SMARTA2-9V  6250 nM_X	Cycle: 20  SMARTA2-9V  6250 nM_Y	Cycle: 21  SMARTA2-9V  12500 nM_X	Cycle: 21  SMARTA2-9V  12500 nM_Y	Cycle: 22  SMARTA2-9V  25000 nM_X	Cycle: 22  SMARTA2-9V  25000 nM_Y	Cycle: 23  SMARTA2-9V  50000 nM_X	Cycle: 23  SMARTA2-9V  50000 nM_Y	Cycle: 24  SMARTA2-9V  100000 nM_X	Cycle: 24  SMARTA2-9V  100000 nM_Y
-60,06	0,151672	-60,06	0,135437	-60,06	0,15448	-60,06	0,14386	-60,0599	0,152729	-60,06	-0,277405	-60,06	-0,267029	-60,0599	-0,307781	-60,06	-0,350037	-60,06	-0,272888
-59,96	0,159546	-59,96	0,154968	-59,96	0,16626	-59,96	0,151672	-59,96	0,172241	-59,96	-0,267639	-59,96	-0,266968	-59,96	-0,299988	-59,96	-0,330444	-59,96	-0,25531
-59,86	0,153625	-59,86	0,135437	-59,86	0,166199	-59,86	0,14386	-59,86	0,152649	-59,86	-0,277405	-59,86	-0,276794	-59,8599	-0,298042	-59,86	-0,340271	-59,86	-0,263123
-59,76	0,130188	-59,76	0,123718	-59,76	0,134949	-59,76	0,100891	-59,7599	0,141003	-59,76	-0,296936	-59,76	-0,327576	-59,7599	-0,311695	-59,76	-0,371521	-59,76	-0,296326
-59,66	0,139954	-59,66	0,121765	-59,66	0,132996	-59,66	0,110657	-59,66	0,160461	-59,66	-0,289124	-59,66	-0,319763	-59,66	-0,331299	-59,66	-0,363708	-59,66	-0,296326
-59,56	0,130188	-59,56	0,133484	-59,56	0,134949	-59,56	0,110657	-59,5599	0,170296	-59,56	-0,277405	-59,56	-0,28656	-59,5599	-0,321465	-59,56	-0,350037	-59,56	-0,315857
-59,46	0,120491	-59,46	0,121765	-59,46	0,14283	-59,46	0,100891	-59,46	0,16053	-59,46	-0,279358	-59,46	-0,29821	-59,46	-0,33123	-59,46	-0,342155	-59,46	-0,313904
-59,36	0,100891	-59,36	0,125671	-59,36	0,134949	-59,36	0,0813599	-59,36	0,152649	-59,36	-0,267639	-59,36	-0,315857	-59,3599	-0,309753	-59,36	-0,330505	-59,36	-0,323669
-59,26	0,0696411	-59,26	0,0944214	-59,26	0,113464	-59,26	0,0618286	-59,2599	0,140991	-59,26	-0,28717	-59,26	-0,327576	-59,2599	-0,309753	-59,26	-0,340271	-59,26	-0,343201
-59,16	0,0598755	-59,16	0,0651245	-59,16	0,105652	-59,16	0,052063	-59,16	0,101868	-59,16	-0,279358	-59,16	-0,337341	-59,16	-0,341064	-59,16	-0,332458	-59,16	-0,345154
