X	Y	Req vs C_X	Req vs C_Y
9,8e-8	3,01968	9,8e-8	4,44128
1,95e-7	6,1364	1,10711e-6	33,444
3,9e-7	12,7388	2,11622e-6	57,9061
7,8e-7	24,9618	3,12533e-6	78,8165
1,56e-6	46,8508	4,13444e-6	96,8964
3,125e-6	81,6525	5,14356e-6	112,684
6,25e-6	128,707	6,15267e-6	126,589
1,25e-5	184,935	7,16178e-6	138,93
2,5e-5	239,256	8,17089e-6	149,956
5e-5	283,948	9,18e-6	159,867
1e-4	315,072	1,01891e-5	168,824
		1,11982e-5	176,958
		1,22073e-5	184,378
		1,32164e-5	191,174
		1,42256e-5	197,421
		1,52347e-5	203,183
		1,62438e-5	208,515
		1,72529e-5	213,463
		1,8262e-5	218,067
		1,92711e-5	222,362
		2,02802e-5	226,378
		2,12893e-5	230,141
		2,22984e-5	233,674
		2,33076e-5	236,998
		2,43167e-5	240,131
		2,53258e-5	243,089
		2,63349e-5	245,886
		2,7344e-5	248,535
		2,83531e-5	251,047
		2,93622e-5	253,433
		3,03713e-5	255,702
		3,13804e-5	257,862
		3,23896e-5	259,921
		3,33987e-5	261,886
		3,44078e-5	263,764
		3,54169e-5	265,559
		3,6426e-5	267,278
		3,74351e-5	268,924
		3,84442e-5	270,503
		3,94533e-5	272,019
		4,04624e-5	273,475
		4,14716e-5	274,875
		4,24807e-5	276,222
		4,34898e-5	277,518
		4,44989e-5	278,767
		4,5508e-5	279,972
		4,65171e-5	281,134
		4,75262e-5	282,256
		4,85353e-5	283,339
		4,95444e-5	284,387
		5,05536e-5	285,4
		5,15627e-5	286,38
		5,25718e-5	287,328
		5,35809e-5	288,248
		5,459e-5	289,138
		5,55991e-5	290,002
		5,66082e-5	290,84
		5,76173e-5	291,653
		5,86264e-5	292,442
		5,96356e-5	293,209
		6,06447e-5	293,954
		6,16538e-5	294,679
		6,26629e-5	295,383
		6,3672e-5	296,068
		6,46811e-5	296,735
		6,56902e-5	297,385
		6,66993e-5	298,017
		6,77084e-5	298,634
		6,87176e-5	299,234
		6,97267e-5	299,82
		7,07358e-5	300,391
		7,17449e-5	300,948
		7,2754e-5	301,492
		7,37631e-5	302,022
		7,47722e-5	302,54
		7,57813e-5	303,046
		7,67904e-5	303,541
		7,77996e-5	304,024
		7,88087e-5	304,496
		7,98178e-5	304,958
		8,08269e-5	305,409
		8,1836e-5	305,851
		8,28451e-5	306,283
		8,38542e-5	306,706
		8,48633e-5	307,12
		8,58724e-5	307,525
		8,68816e-5	307,922
		8,78907e-5	308,311
		8,88998e-5	308,692
		8,99089e-5	309,066
		9,0918e-5	309,432
		9,19271e-5	309,79
		9,29362e-5	310,142
		9,39453e-5	310,487
		9,49544e-5	310,826
		9,59636e-5	311,158
		9,69727e-5	311,484
		9,79818e-5	311,803
		9,89909e-5	312,117
		1e-4	312,425
			
