Cycle: 15  SMARTA2-9V  98 nM_X	Cycle: 15  SMARTA2-9V  98 nM_Y	Cycle: 16  SMARTA2-9V  195 nM_X	Cycle: 16  SMARTA2-9V  195 nM_Y	Cycle: 17  SMARTA2-9V  390 nM_X	Cycle: 17  SMARTA2-9V  390 nM_Y	Cycle: 18  SMARTA2-9V  780 nM_X	Cycle: 18  SMARTA2-9V  780 nM_Y	Cycle: 19  SMARTA2-9V  1560 nM_X	Cycle: 19  SMARTA2-9V  1560 nM_Y	Cycle: 20  SMARTA2-9V  3125 nM_X	Cycle: 20  SMARTA2-9V  3125 nM_Y	Cycle: 21  SMARTA2-9V  6250 nM_X	Cycle: 21  SMARTA2-9V  6250 nM_Y	Cycle: 22  SMARTA2-9V  12500 nM_X	Cycle: 22  SMARTA2-9V  12500 nM_Y	Cycle: 23  SMARTA2-9V  25000 nM_X	Cycle: 23  SMARTA2-9V  25000 nM_Y	Cycle: 24  SMARTA2-9V  50000 nM_X	Cycle: 24  SMARTA2-9V  50000 nM_Y	Cycle: 25  SMARTA2-9V  100000 nM_X	Cycle: 25  SMARTA2-9V  100000 nM_Y
-59,96	0,304932	-60,0599	0,488403	-60,0599	0,438477	-60,0599	0,418945	-59,96	0,356201	-60,0599	0,156494	-60,0599	-0,0493164	-59,96	-0,317505	-60,0599	-0,530945	-60,0599	-0,645264	-59,96	-0,911072
-59,86	0,304932	-59,96	0,468872	-59,96	0,428711	-59,96	0,40918	-59,86	0,36792	-59,96	0,16626	-59,96	-0,0473633	-59,86	-0,315491	-59,96	-0,54071	-59,96	-0,645264	-59,86	-0,918823
-59,76	0,334156	-59,86	0,459106	-59,86	0,428711	-59,8599	0,399487	-59,7599	0,377686	-59,8599	0,168285	-59,86	-0,0571289	-59,76	-0,297985	-59,8599	-0,540638	-59,8599	-0,635426	-59,76	-0,911083
-59,66	0,31665	-59,7599	0,468872	-59,7599	0,428711	-59,7599	0,40918	-59,66	0,369873	-59,7599	0,187744	-59,7599	-0,0571289	-59,66	-0,295959	-59,7599	-0,530945	-59,7599	-0,645264	-59,66	-0,918823
-59,56	0,334164	-59,66	0,439575	-59,66	0,411133	-59,66	0,399414	-59,56	0,367855	-59,66	0,187744	-59,66	-0,0473633	-59,56	-0,296024	-59,66	-0,550476	-59,66	-0,655029	-59,56	-0,899357
-59,46	0,324463	-59,5599	0,418091	-59,5599	0,411133	-59,5599	0,389648	-59,46	0,358154	-59,5599	0,187744	-59,5599	-0,0473633	-59,46	-0,307739	-59,5599	-0,548523	-59,5599	-0,664795	-59,46	-0,909119
-59,36	0,31665	-59,46	0,390747	-59,46	0,399414	-59,46	0,387695	-59,36	0,358154	-59,46	0,156494	-59,46	-0,0473633	-59,36	-0,305725	-59,46	-0,560242	-59,46	-0,655029	-59,36	-0,897339
-59,26	0,314632	-59,36	0,380981	-59,36	0,391602	-59,3599	0,379948	-59,2599	0,358154	-59,3599	0,148746	-59,36	-0,0473633	-59,26	-0,296024	-59,3599	-0,538692	-59,3599	-0,662777	-59,26	-0,877872
-59,16	0,328369	-59,2599	0,369263	-59,2599	0,389648	-59,2599	0,401367	-59,16	0,358154	-59,2599	0,148682	-59,2599	-0,0571289	-59,16	-0,305725	-59,2599	-0,538757	-59,2599	-0,662842	-59,16	-0,858276
-59,06	0,324398	-59,16	0,380981	-59,16	0,391602	-59,16	0,391602	-59,06	0,346371	-59,16	0,148682	-59,16	-0,0356445	-59,06	-0,297977	-59,16	-0,548523	-59,16	-0,672607	-59,06	-0,860294
-58,96	0,314697	-59,0599	0,379028	-59,0599	0,37793	-59,0599	0,368164	-58,96	0,346436	-59,0599	0,136963	-59,0599	-0,0200195	-58,96	-0,27845	-59,0599	-0,550476	-59,0599	-0,655029	-58,96	-0,840767
-58,86	0,355713	-58,96	0,386841	-58,96	0,407227	-58,96	0,358398	-58,86	0,377686	-58,96	0,144775	-58,96	-0,0102539	-58,86	-0,247131	-58,96	-0,542664	-58,96	-0,656982	-58,86	-0,821167
-58,76	0,343933	-58,86	0,418091	-58,86	0,438477	-58,8599	0,387756	-58,7599	0,36792	-58,8599	0,176086	-58,86	0,0112305	-58,76	-0,256958	-58,8599	-0,521118	-58,8599	-0,635437	-58,76	-0,819275
-58,66	0,336182	-58,7599	0,418091	-58,7599	0,428711	-58,7599	0,387695	-58,66	0,348389	-58,7599	0,176025	-58,7599	0,0112305	-58,66	-0,256897	-58,7599	-0,530945	-58,7599	-0,645264	-58,66	-0,819214
-58,56	0,363441	-58,66	0,410278	-58,66	0,420898	-58,66	0,389648	-58,56	0,377602	-58,66	0,158447	-58,66	3,41797e-3	-58,56	-0,227684	-58,66	-0,538757	-58,66	-0,645264	-58,56	-0,790001
