name,tot1,tot2,tot3,sol1,sol2,sol3
sfGFP,28.645,29.300,23.900,23.600,22.600,21.800
hit6_CSM8_sFLAG_Nterm_12,26.900,21.700,24.600,25.600,27.600,24.900
original_hit6_peptide,5.566,5.705,6.726,4.672,5.540,5.899
original_hit6_empty,3.730,3.217,3.005,3.243,2.258,1.739
original single chain trimer wt peptide (H2Db_v3_PH6),0.422,0.426,0.424,0.156,0.251,0.416
original single chain trimer wt empty (H2Db_v3_PH6),2.496,3.252,2.802,2.062,2.476,0.883
hit6_CSM8,2.333,2.872,4.495,1.626,1.726,2.690
CSM8 normal,21.664,25.825,21.023,19.500,16.217,18.732
CSM8 normal 11,16.693,15.805,18.221,15.649,15.491,14.870
CSMA normal 15,22.204,21.994,20.200,19.056,21.167,18.104
