#"+ESI Scan (rt: 2.027-3.309 min, 78 scans) Frag=225.0V frag WW.d  Deconvoluted (Isotope Width=11.4)"
#Point,X(Daltons),Y(Counts)
0,5000.00,1.29864625719733E-08
1,5001.00,3.28697673523948E-08
2,5002.00,6.65789698928165E-08
3,5003.00,1.37626358309717E-07
4,5004.00,3.23383488876061E-07
5,5005.00,9.05395665995457E-07
6,5006.00,3.01076102005027E-06
7,5007.00,1.13696132757468E-05
8,5008.00,4.52576314273756E-05
9,5009.00,0.000173466542037204
10,5010.00,0.000583846180234104
11,5011.00,0.00159480760339648
12,5012.00,0.00336056645028293
13,5013.00,0.00540565047413111
14,5014.00,0.00687556155025959
15,5015.00,0.00744897965341806
16,5016.00,0.00752558000385761
17,5017.00,0.00760591542348266
18,5018.00,0.00781237659975886
19,5019.00,0.00776454247534275
20,5020.00,0.00681285979226232
21,5021.00,0.00481547135859728
22,5022.00,0.00261097168549895
23,5023.00,0.00111101241782308
24,5024.00,0.000411491200793535
25,5025.00,0.000156681839143857
26,5026.00,7.33213455532677E-05
27,5027.00,4.75190827273764E-05
28,5028.00,4.3104631913593E-05
29,5029.00,5.00474670843687E-05
30,5030.00,6.50521033094265E-05
31,5031.00,8.37671468616463E-05
32,5032.00,9.8502219771035E-05
33,5033.00,0.000102013851574156
34,5034.00,9.33976261876523E-05
35,5035.00,7.86096352385357E-05
36,5036.00,6.53699898975901E-05
37,5037.00,5.92257529206108E-05
38,5038.00,6.47828201181255E-05
39,5039.00,9.19720841920935E-05
40,5040.00,0.000170807703398168
41,5041.00,0.000388252577977255
42,5042.00,0.000960488803684711
43,5043.00,0.00227798288688064
44,5044.00,0.00468181539326906
45,5045.00,0.0078656142577529
46,5046.00,0.0106371408328414
47,5047.00,0.0118020055815578
48,5048.00,0.0112020764499903
49,5049.00,0.00958638824522495
50,5050.00,0.00778610398992896
51,5051.00,0.00624830042943358
52,5052.00,0.00507202697917819
53,5053.00,0.00419474486261606
54,5054.00,0.0035236703697592
55,5055.00,0.00299349427223206
56,5056.00,0.00258054491132498
57,5057.00,0.00229596812278032
58,5058.00,0.00217597675509751
59,5059.00,0.00228883372619748
60,5060.00,0.00278060068376362
61,5061.00,0.00399950752034783
62,5062.00,0.00679494068026543
63,5063.00,0.0131585784256458
64,5064.00,0.0271857567131519
65,5065.00,0.0549971275031567
66,5066.00,0.099659651517868
67,5067.00,0.150104120373726
68,5068.00,0.179633677005768
69,5069.00,0.170049652457237
70,5070.00,0.132554098963737
71,5071.00,0.0920335203409195
72,5072.00,0.0627529919147491
73,5073.00,0.0458287633955479
74,5074.00,0.0375861749053001
75,5075.00,0.0345232263207436
76,5076.00,0.0341233089566231
77,5077.00,0.0344778709113598
78,5078.00,0.0341771915555
79,5079.00,0.0324970595538616
80,5080.00,0.0293974410742521
81,5081.00,0.0252232421189547
82,5082.00,0.0204301942139864
83,5083.00,0.0155081767588854
84,5084.00,0.0109611349180341
85,5085.00,0.00720577593892813
86,5086.00,0.00444349413737655
87,5087.00,0.00262851850129664
88,5088.00,0.00155486608855426
89,5089.00,0.00098343042191118
90,5090.00,0.000732514308765531
91,5091.00,0.000724482350051403
92,5092.00,0.00106670532841235
93,5093.00,0.00247562699951231
94,5094.00,0.00865799561142921
95,5095.00,0.0393704697489738
96,5096.00,0.189911276102066
97,5097.00,0.795890390872955
98,5098.00,2.48820376396179
99,5099.00,5.33087253570557
100,5100.00,7.72631597518921
101,5101.00,7.99705600738525
102,5102.00,6.58752965927124
103,5103.00,4.95961093902588
104,5104.00,3.89521956443787
105,5105.00,3.48073387145996
106,5106.00,3.59939241409302
107,5107.00,4.10081577301025
108,5108.00,4.71524715423584
109,5109.00,4.9884238243103
110,5110.00,4.51819038391113
111,5111.00,3.37004113197327
112,5112.00,2.06512022018433
113,5113.00,1.07299911975861
114,5114.00,0.50101101398468
115,5115.00,0.225978180766106
116,5116.00,0.105606436729431
117,5117.00,0.0539130531251431
118,5118.00,0.0309486351907253
119,5119.00,0.0201657880097628
120,5120.00,0.0149281183257699
121,5121.00,0.0125643014907837
122,5122.00,0.0120185548439622
123,5123.00,0.0129220839589834
124,5124.00,0.0151161830872297
125,5125.00,0.0181690193712711
126,5126.00,0.0208377912640572
127,5127.00,0.0211329534649849
128,5128.00,0.0177723839879036
129,5129.00,0.0118534825742245
130,5130.00,0.00612824829295278
131,5131.00,0.00245333695784211
132,5132.00,0.000778273155447096
133,5133.00,0.000206369848456234
134,5134.00,5.00426831422374E-05
135,5135.00,1.2545169738587E-05
136,5136.00,3.70206430488906E-06
137,5137.00,1.40652025493182E-06
138,5138.00,6.91699085564323E-07
139,5139.00,4.06037315769936E-07
140,5140.00,2.52757615726296E-07
141,5141.00,1.52813683484965E-07
142,5142.00,8.87606290689291E-08
143,5143.00,5.32419974774712E-08
144,5144.00,3.71346615679613E-08
145,5145.00,3.32431469018957E-08
146,5146.00,3.89699046365877E-08
147,5147.00,5.5890943428949E-08
148,5148.00,8.78677539617456E-08
149,5149.00,1.3870324266918E-07
150,5150.00,2.14503913298358E-07
151,5151.00,3.38426531243385E-07
152,5152.00,5.85855730150797E-07
153,5153.00,1.17573813440686E-06
154,5154.00,2.72919214694411E-06
155,5155.00,6.87100509821903E-06
156,5156.00,1.70301136677153E-05
157,5157.00,3.79969133064151E-05
158,5158.00,7.21531541785225E-05
159,5159.00,0.00011451770842541
160,5160.00,0.000153184359078296
161,5161.00,0.000175883149495348
162,5162.00,0.000176547167939134
163,5163.00,0.000158381400979124
164,5164.00,0.000132401401060633
165,5165.00,0.000111627225123812
166,5166.00,0.000106890976894647
167,5167.00,0.000132411456434056
168,5168.00,0.000230740071856417
169,5169.00,0.000557262974325567
170,5170.00,0.00166164198890328
171,5171.00,0.00518650468438864
172,5172.00,0.0145628368481994
173,5173.00,0.0333497561514378
174,5174.00,0.0602861419320107
175,5175.00,0.0880645215511322
176,5176.00,0.109928913414478
177,5177.00,0.124017141759396
178,5178.00,0.129820242524147
179,5179.00,0.124107763171196
180,5180.00,0.103592097759247
181,5181.00,0.0723988488316536
182,5182.00,0.0421638488769531
183,5183.00,0.0215362403541803
184,5184.00,0.0106549086049199
185,5185.00,0.00570450443774462
186,5186.00,0.00354762934148312
187,5187.00,0.00254930672235787
188,5188.00,0.00195962935686111
189,5189.00,0.0014433047035709
190,5190.00,0.000923016748856753
191,5191.00,0.000483499257825315
192,5192.00,0.000205681368242949
193,5193.00,7.39378010621294E-05
194,5194.00,2.43715094256913E-05
195,5195.00,8.24159360490739E-06
196,5196.00,3.23405492963502E-06
197,5197.00,1.63756385518354E-06
198,5198.00,1.1392503438401E-06
199,5199.00,1.09833263195469E-06
200,5200.00,1.41583700496994E-06
201,5201.00,2.30173054660554E-06
202,5202.00,4.44088072981685E-06
203,5203.00,9.66087281994987E-06
204,5204.00,2.27697400987381E-05
205,5205.00,5.61864071642049E-05
206,5206.00,0.000140056290547363
207,5207.00,0.000338866142556071
208,5208.00,0.000765799428336322
209,5209.00,0.00157837837468833
210,5210.00,0.00298503460362554
211,5211.00,0.00541856419295073
212,5212.00,0.0101967183873057
213,5213.00,0.0215543620288372
214,5214.00,0.0533542186021805
215,5215.00,0.150482326745987
216,5216.00,0.440371483564377
217,5217.00,1.17609679698944
218,5218.00,2.53177547454834
219,5219.00,4.00847387313843
220,5220.00,4.45993661880493
221,5221.00,3.49604487419128
222,5222.00,2.02095937728882
223,5223.00,0.932627379894257
224,5224.00,0.379309326410294
225,5225.00,0.150226250290871
226,5226.00,0.0627430230379105
227,5227.00,0.028870677575469
228,5228.00,0.0147132538259029
229,5229.00,0.00812906865030527
230,5230.00,0.00472714519128203
231,5231.00,0.00282651279121637
232,5232.00,0.00171677442267537
233,5233.00,0.00105403002817184
234,5234.00,0.000650717585813254
235,5235.00,0.000399830809328705
236,5236.00,0.000241560119320638
237,5237.00,0.000143079101690091
238,5238.00,8.47652336233296E-05
239,5239.00,5.27926713402849E-05
240,5240.00,3.71047135558911E-05
241,5241.00,3.14429162244778E-05
242,5242.00,3.3107258786913E-05
243,5243.00,4.23652636527549E-05
244,5244.00,6.18870253674686E-05
245,5245.00,9.60795659921132E-05
246,5246.00,0.000150805208249949
247,5247.00,0.000235931525821798
248,5248.00,0.000373921822756529
249,5249.00,0.000617040321230888
250,5250.00,0.00107657164335251
251,5251.00,0.00195975345559418
252,5252.00,0.00356210418976843
253,5253.00,0.00607391586527228
254,5254.00,0.00913141947239637
255,5255.00,0.0115637555718422
256,5256.00,0.0120832482352853
257,5257.00,0.0104788616299629
258,5258.00,0.00777091318741441
259,5259.00,0.00518365856260061
260,5260.00,0.00332634104415774
261,5261.00,0.00221507879905403
262,5262.00,0.00164070317987353
263,5263.00,0.00140870956238359
264,5264.00,0.00139328837394714
265,5265.00,0.00149659591261297
266,5266.00,0.00158383476082236
267,5267.00,0.00147912581451237
268,5268.00,0.00110470922663808
