X	Y	Req vs C_X	Req vs C_Y
5,8e-8	0,521622	5,8e-8	-0,555895
1,17e-7	0,260828	1,26954e-6	0,912982
2,34e-7	0,129289	2,48107e-6	2,36151
4,69e-7	0,0582551	3,69261e-6	3,79012
9,37e-7	0,291612	4,90414e-6	5,1992
1,875e-6	1,09426	6,11568e-6	6,58916
3,75e-6	2,92653	7,32721e-6	7,96039
7,5e-6	6,83578	8,53875e-6	9,31326
1,5e-5	16,2153	9,75028e-6	10,6481
3e-5	31,1072	1,09618e-5	11,9654
6e-5	54,0253	1,21734e-5	13,2653
1,2e-4	85,6671	1,33849e-5	14,5483
		1,45964e-5	15,8147
		1,5808e-5	17,0648
		1,70195e-5	18,2989
		1,8231e-5	19,5173
		1,94426e-5	20,7203
		2,06541e-5	21,9082
		2,18656e-5	23,0814
		2,30772e-5	24,2399
		2,42887e-5	25,3842
		2,55002e-5	26,5145
		2,67118e-5	27,6311
		2,79233e-5	28,7341
		2,91348e-5	29,8239
		3,03464e-5	30,9007
		3,15579e-5	31,9646
		3,27695e-5	33,016
		3,3981e-5	34,0551
		3,51925e-5	35,0821
		3,64041e-5	36,0971
		3,76156e-5	37,1004
		3,88271e-5	38,0922
		4,00387e-5	39,0727
		4,12502e-5	40,0421
		4,24617e-5	41,0005
		4,36733e-5	41,9482
		4,48848e-5	42,8854
		4,60963e-5	43,8121
		4,73079e-5	44,7287
		4,85194e-5	45,6351
		4,97309e-5	46,5317
		5,09425e-5	47,4186
		5,2154e-5	48,2959
		5,33656e-5	49,1638
		5,45771e-5	50,0224
		5,57886e-5	50,8719
		5,70002e-5	51,7125
		5,82117e-5	52,5442
		5,94232e-5	53,3672
		6,06348e-5	54,1816
		6,18463e-5	54,9877
		6,30578e-5	55,7854
		6,42694e-5	56,575
		6,54809e-5	57,3565
		6,66924e-5	58,1301
		6,7904e-5	58,896
		6,91155e-5	59,6541
		7,03271e-5	60,4047
		7,15386e-5	61,1478
		7,27501e-5	61,8835
		7,39617e-5	62,6121
		7,51732e-5	63,3335
		7,63847e-5	64,0479
		7,75963e-5	64,7553
		7,88078e-5	65,4559
		8,00193e-5	66,1499
		8,12309e-5	66,8371
		8,24424e-5	67,5179
		8,36539e-5	68,1922
		8,48655e-5	68,8601
		8,6077e-5	69,5218
		8,72885e-5	70,1774
		8,85001e-5	70,8268
		8,97116e-5	71,4702
		9,09232e-5	72,1077
		9,21347e-5	72,7394
		9,33462e-5	73,3653
		9,45578e-5	73,9856
		9,57693e-5	74,6002
		9,69808e-5	75,2093
		9,81924e-5	75,813
		9,94039e-5	76,4112
		1,00615e-4	77,0042
		1,01827e-4	77,5919
		1,03039e-4	78,1745
		1,0425e-4	78,7519
		1,05462e-4	79,3243
		1,06673e-4	79,8918
		1,07885e-4	80,4543
		1,09096e-4	81,012
		1,10308e-4	81,5649
		1,11519e-4	82,1131
		1,12731e-4	82,6567
		1,13942e-4	83,1956
		1,15154e-4	83,73
		1,16365e-4	84,26
		1,17577e-4	84,7855
		1,18788e-4	85,3066
		1,2e-4	85,8234
			
