Cycle=2_Fc=2-1_X	Cycle=2_Fc=2-1_Y	Cycle=3_Fc=2-1_X	Cycle=3_Fc=2-1_Y	Cycle=4_Fc=2-1_X	Cycle=4_Fc=2-1_Y	Cycle=5_Fc=2-1_X	Cycle=5_Fc=2-1_Y	Cycle=6_Fc=2-1_X	Cycle=6_Fc=2-1_Y	Cycle=7_Fc=2-1_X	Cycle=7_Fc=2-1_Y	Cycle=8_Fc=2-1_X	Cycle=8_Fc=2-1_Y	Cycle=9_Fc=2-1_X	Cycle=9_Fc=2-1_Y	Cycle=10_Fc=2-1_X	Cycle=10_Fc=2-1_Y	Cycle=11_Fc=2-1_X	Cycle=11_Fc=2-1_Y	Cycle=12_Fc=2-1_X	Cycle=12_Fc=2-1_Y	Cycle=13_Fc=2-1_X	Cycle=13_Fc=2-1_Y	Cycle=14_Fc=2-1_X	Cycle=14_Fc=2-1_Y
0,1	-5,3418	0,1	-5,94141	0,1	-4,36328	0,1	-2,7832	0,1	-0,251953	0,1	0,267578	0,1	1,84961	0,1	2,46875	0,1	2,28711	0,1	2,82031	0,1	2,06836	0,1	3,01758	0,1	3,03125
0,2	-5,27148	0,2	-5,92188	0,2	-4,40234	0,2	-2,8125	0,2	-0,28125	0,2	0,287109	0,2	1,86914	0,2	2,45898	0,2	2,33789	0,2	2,8418	0,2	2,05859	0,2	2,95898	0,2	3,08008
0,3	-5,31055	0,3	-5,9707	0,3	-4,38086	0,3	-2,83203	0,3	-0,320313	0,3	0,248047	0,3	1,88086	0,3	2,43945	0,3	2,31836	0,3	2,8125	0,3	2,01953	0,3	2,90039	0,3	3,02148
0,4	-5,3418	0,4	-6,03125	0,4	-4,43164	0,4	-2,86328	0,4	-0,351563	0,4	0,226563	0,4	1,82031	0,4	2,43945	0,4	2,29883	0,4	2,80078	0,4	1,96875	0,4	2,85938	0,4	2,96094
0,5	-5,36133	0,5	-6,0625	0,5	-4,47266	0,5	-2,92383	0,5	-0,402344	0,5	0,1875	0,5	1,75977	0,5	2,4082	0,5	2,23828	0,5	2,76172	0,5	1,9082	0,5	2,81836	0,5	2,91016
0,6	-5,38086	0,6	-6,13086	0,6	-4,51172	0,6	-2,98242	0,6	-0,449219	0,6	0,138672	0,6	1,70117	0,6	2,34961	0,6	2,19922	0,6	2,71289	0,6	1,85938	0,6	2,7793	0,6	2,85156
0,7	-5,43164	0,7	-6,16016	0,7	-4,57227	0,7	-3,02344	0,7	-0,490234	0,7	0,0878906	0,7	1,66016	0,7	2,29883	0,7	2,14844	0,7	2,67188	0,7	1,80859	0,7	2,75	0,7	2,79102
0,8	-5,45117	0,8	-6,17969	0,8	-4,60156	0,8	-3,03125	0,8	-0,5	0,8	0,0585938	0,8	1,64063	0,8	2,2793	0,8	2,12891	0,8	2,65234	0,8	1,78906	0,8	2,7207	0,8	2,77148
0,9	-5,48242	0,9	-6,2207	0,9	-4,63281	0,9	-3,0625	0,9	-0,521484	0,9	0,0273438	0,9	1,60938	0,9	2,25977	0,9	2,09766	0,9	2,63086	0,9	1,76953	0,9	2,70898	0,9	2,75
1	-5,51172	1	-6,25	1	-4,65234	1	-3,07227	1	-0,550781	1	-1,95313e-3	1	1,58008	1	2,24023	1	2,06836	1	2,60156	1	1,75	1	2,68945	1	2,73047
1,1	-5,53906	1,1	-6,27734	1,1	-4,66132	1,1	-3,10547	1,1	-0,553894	1,1	0,0105591	1,1	1,54102	1,1	2,18475	1,1	2,02264	1,1	2,54608	1,1	1,75861	1,1	2,6203	1,1	2,67499
1,2	-5,55664	1,2	-6,30859	1,2	-4,60077	1,2	-3,10272	1,2	-0,530457	1,2	0,0535278	1,2	1,49219	1,2	2,12189	1,2	1,98322	1,2	2,50665	1,2	1,78595	1,2	2,55939	1,2	2,64337
1,3	-5,55078	1,3	-6,31641	1,3	-4,54492	1,3	-3,09375	1,3	-0,496094	1,3	0,0605469	1,3	1,51056	1,3	2,11444	1,3	1,99023	1,3	2,51953	1,3	1,78516	1,3	2,58398	1,3	2,67969
1,4	-5,57733	1,4	-6,33319	1,4	-4,54803	1,4	-3,10938	1,4	-0,485535	1,4	0,055481	1,4	1,52228	1,4	2,08868	1,4	1,97345	1,4	2,48828	1,4	1,76837	1,4	2,60626	1,4	2,68048
1,5	-5,60156	1,5	-6,33008	1,5	-4,56445	1,5	-3,11719	1,5	-0,505859	1,5	0,0410156	1,5	1,51758	1,5	2,0625	1,5	1,98438	1,5	2,48633	1,5	1,75311	1,5	2,5918	1,5	2,68164
1,6	-5,60547	1,6	-6,3078	1,6	-4,54608	1,6	-3,09882	1,6	-0,503113	1,6	0,039856	1,6	1,52539	1,6	2,07031	1,6	1,99298	1,6	2,49493	1,6	1,7547	1,6	2,61212	1,6	2,69611
1,7	-5,58514	1,7	-6,28436	1,7	-4,53436	1,7	-3,091	1,7	-0,496094	1,7	0,0449219	1,7	1,53986	1,7	2,07892	1,7	2,00861	1,7	2,51056	1,7	1,77032	1,7	2,63556	1,7	2,7254
1,8	-5,5625	1,8	-6,25977	1,8	-4,50977	1,8	-3,07227	1,8	-0,482422	1,8	0,0683594	1,8	1,57422	1,8	2,11328	1,8	2,0293	1,8	2,54102	1,8	1,78711	1,8	2,66016	1,8	2,73633
1,9	-5,51874	1,9	-6,23749	1,9	-4,47852	1,9	-3,04608	1,9	-0,466003	1,9	0,0906372	1,9	1,61603	1,9	2,14728	1,9	2,06915	1,9	2,5672	1,9	1,80939	1,9	2,68243	1,9	2,75275
2	-5,20117	2	-5,94141	2	-4,17188	2	-2,72266	2	-0,179688	2	0,427734	2	1,92969	2	2,46875	2	2,4082	2	2,91992	2	2,15039	2	2,99023	2	3,06836
2,1	-5,19922	2,1	-5,92969	2,1	-4,18164	2,1	-2,71094	2,1	-0,1875	2,1	0,429688	2,1	1,92188	2,1	2,4707	2,1	2,40039	2,1	2,92188	2,1	2,14063	2,1	2,98242	2,1	3,07031
2,2	-5,19141	2,2	-5,92969	2,2	-4,16992	2,2	-2,71094	2,2	-0,189453	2,2	0,427734	2,2	1,93164	2,2	2,49219	2,2	2,4082	2,2	2,93164	2,2	2,15039	2,2	2,99219	2,2	3,07227
2,3	-5,19336	2,3	-5,92188	2,3	-4,16211	2,3	-2,71289	2,3	-0,191406	2,3	0,427734	2,3	1,92969	2,3	2,45898	2,3	2,39648	2,3	2,91992	2,3	2,14844	2,3	2,98047	2,3	3,08008
2,4	-5,17188	2,4	-5,91016	2,4	-4,16016	2,4	-2,70117	2,4	-0,169922	2,4	0,439453	2,4	1,94141	2,4	2,48047	2,4	2,41797	2,4	2,94141	2,4	2,16016	2,4	2,99023	2,4	3,08203
2,5	-5,17188	2,5	-5,91016	2,5	-4,15039	2,5	-2,70117	2,5	-0,169922	2,5	0,439453	2,5	1,94141	2,5	2,4707	2,5	2,41797	2,5	2,92969	2,5	2,16016	2,5	2,99023	2,5	3,0918
2,6	-5,15234	2,6	-5,90234	2,6	-4,13086	2,6	-2,68164	2,6	-0,150391	2,6	0,449219	2,6	1,96094	2,6	2,49023	2,6	2,4375	2,6	2,96094	2,6	2,17969	2,6	3,00977	2,6	3,11133
2,7	-5,16211	2,7	-5,90039	2,7	-4,14063	2,7	-2,70117	2,7	-0,169922	2,7	0,439453	2,7	1,95117	2,7	2,4707	2,7	2,42969	2,7	2,94141	2,7	2,17969	2,7	3,00977	2,7	3,10156
2,8	-5,17188	2,8	-5,91016	2,8	-4,14063	2,8	-2,69141	2,8	-0,179688	2,8	0,449219	2,8	1,94141	2,8	2,48047	2,8	2,42969	2,8	2,93164	2,8	2,17969	2,8	3,00977	2,8	3,10156
2,9	-5,16211	2,9	-5,90039	2,9	-4,12109	2,9	-2,69336	2,9	-0,160156	2,9	0,449219	2,9	1,95117	2,9	2,49023	2,9	2,43945	2,9	2,94141	2,9	2,17969	2,9	3,01953	2,9	3,11133
3	-5,18164	3	-5,91016	3	-4,15039	3	-2,70313	3	-0,189453	3	0,419922	3	1,94141	3	2,4707	3	2,42969	3	2,93164	3	2,17188	3	2,99023	3	3,0918
3,1	-5,18164	3,1	-5,92969	3,1	-4,16016	3,1	-2,71289	3,1	-0,208984	3,1	0,419922	3,1	1,92188	3,1	2,46094	3,1	2,41016	3,1	2,92188	3,1	2,15234	3,1	2,99023	3,1	3,07227
3,2	-5,14063	3,2	-5,86914	3,2	-4,10938	3,2	-2,66211	3,2	-0,158203	3,2	0,470703	3,2	1,97266	3,2	2,52148	3,2	2,46094	3,2	2,98242	3,2	2,20313	3,2	3,03125	3,2	3,12109
3,3	-5,15234	3,3	-5,89063	3,3	-4,12109	3,3	-2,67383	3,3	-0,169922	3,3	0,458984	3,3	1,96094	3,3	2,50977	3,3	2,44922	3,3	2,9707	3,3	2,18164	3,3	3,0293	3,3	3,10938
3,4	-5,15234	3,4	-5,88086	3,4	-4,11133	3,4	-2,67383	3,4	-0,169922	3,4	0,449219	3,4	1,96094	3,4	2,50977	3,4	2,44922	3,4	2,96094	3,4	2,19141	3,4	3,04102	3,4	3,09961
3,5	-5,14258	3,5	-5,88086	3,5	-4,11328	3,5	-2,66211	3,5	-0,160156	3,5	0,458984	3,5	1,9707	3,5	2,50977	3,5	2,45898	3,5	2,9707	3,5	2,19141	3,5	3,0293	3,5	3,10938
3,6	-5,12891	3,6	-5,86914	3,6	-4,10938	3,6	-2,66016	3,6	-0,167969	3,6	0,449219	3,6	1,97266	3,6	2,51172	3,6	2,45117	3,6	2,97266	3,6	2,19336	3,6	3,04297	3,6	3,11133
3,7	-5,12109	3,7	-5,89063	3,7	-4,11133	3,7	-2,67188	3,7	-0,148438	3,7	0,457031	3,7	1,96094	3,7	2,49805	3,7	2,45898	3,7	2,9707	3,7	2,17969	3,7	3,03125	3,7	3,09961
3,8	-5,12109	3,8	-5,88086	3,8	-4,12109	3,8	-2,67188	3,8	-0,158203	3,8	0,457031	3,8	1,96094	3,8	2,50781	3,8	2,44922	3,8	2,9707	3,8	2,18945	3,8	3,03125	3,8	3,09961
3,9	-5,11914	3,9	-5,88867	3,9	-4,10938	3,9	-2,66016	3,9	-0,158203	3,9	0,458984	3,9	1,97266	3,9	2,50977	3,9	2,45117	3,9	2,98242	3,9	2,20117	3,9	3,04297	3,9	3,11133
4	-5,11914	4	-5,88867	4	-4,11914	4	-2,66016	4	-0,148438	4	0,458984	4	1,9707	4	2,50977	4	2,46094	4	2,98242	4	2,20117	4	3,04297	4	3,11133
