X	Y	Req vs C_X	Req vs C_Y
5,8e-8	-0,240344	5,8e-8	-1,20319
1,17e-7	-0,518491	1,26954e-6	3,08218
2,34e-7	0,023007	2,48107e-6	7,25818
2,34e-7	0,0284962	3,69261e-6	11,3289
4,69e-7	0,27908	4,90414e-6	15,2984
9,37e-7	1,83488	6,11568e-6	19,1703
1,875e-6	4,48384	7,32721e-6	22,9481
1,875e-6	4,50187	8,53875e-6	26,6353
3,75e-6	11,159	9,75028e-6	30,2351
7,5e-6	23,6337	1,09618e-5	33,7505
1,5e-5	43,3689	1,21734e-5	37,1846
1,5e-5	43,156	1,33849e-5	40,54
3e-5	82,1516	1,45964e-5	43,8195
6e-5	129,57	1,5808e-5	47,0255
1,2e-4	185,518	1,70195e-5	50,1607
		1,8231e-5	53,2271
		1,94426e-5	56,2272
		2,06541e-5	59,163
		2,18656e-5	62,0366
		2,30772e-5	64,8499
		2,42887e-5	67,6048
		2,55002e-5	70,3032
		2,67118e-5	72,9466
		2,79233e-5	75,5369
		2,91348e-5	78,0755
		3,03464e-5	80,5641
		3,15579e-5	83,004
		3,27695e-5	85,3967
		3,3981e-5	87,7436
		3,51925e-5	90,0459
		3,64041e-5	92,3049
		3,76156e-5	94,5218
		3,88271e-5	96,6978
		4,00387e-5	98,8341
		4,12502e-5	100,932
		4,24617e-5	102,991
		4,36733e-5	105,015
		4,48848e-5	107,002
		4,60963e-5	108,955
		4,73079e-5	110,874
		4,85194e-5	112,76
		4,97309e-5	114,613
		5,09425e-5	116,436
		5,2154e-5	118,228
		5,33656e-5	119,99
		5,45771e-5	121,723
		5,57886e-5	123,428
		5,70002e-5	125,105
		5,82117e-5	126,755
		5,94232e-5	128,379
		6,06348e-5	129,977
		6,18463e-5	131,55
		6,30578e-5	133,098
		6,42694e-5	134,623
		6,54809e-5	136,124
		6,66924e-5	137,602
		6,7904e-5	139,058
		6,91155e-5	140,492
		7,03271e-5	141,905
		7,15386e-5	143,297
		7,27501e-5	144,669
		7,39617e-5	146,02
		7,51732e-5	147,352
		7,63847e-5	148,665
		7,75963e-5	149,959
		7,88078e-5	151,235
		8,00193e-5	152,493
		8,12309e-5	153,733
		8,24424e-5	154,957
		8,36539e-5	156,163
		8,48655e-5	157,353
		8,6077e-5	158,527
		8,72885e-5	159,684
		8,85001e-5	160,827
		8,97116e-5	161,954
		9,09232e-5	163,066
		9,21347e-5	164,164
		9,33462e-5	165,248
		9,45578e-5	166,317
		9,57693e-5	167,373
		9,69808e-5	168,415
		9,81924e-5	169,444
		9,94039e-5	170,459
		1,00615e-4	171,463
		1,01827e-4	172,453
		1,03039e-4	173,431
		1,0425e-4	174,398
		1,05462e-4	175,352
		1,06673e-4	176,295
		1,07885e-4	177,226
		1,09096e-4	178,147
		1,10308e-4	179,056
		1,11519e-4	179,954
		1,12731e-4	180,842
		1,13942e-4	181,72
		1,15154e-4	182,587
		1,16365e-4	183,444
		1,17577e-4	184,291
		1,18788e-4	185,128
		1,2e-4	185,956
			
