Cycle=15_Fc=2-1_X	Cycle=15_Fc=2-1_Y	Cycle=16_Fc=2-1_X	Cycle=16_Fc=2-1_Y	Cycle=17_Fc=2-1_X	Cycle=17_Fc=2-1_Y	Cycle=18_Fc=2-1_X	Cycle=18_Fc=2-1_Y	Cycle=19_Fc=2-1_X	Cycle=19_Fc=2-1_Y	Cycle=20_Fc=2-1_X	Cycle=20_Fc=2-1_Y	Cycle=21_Fc=2-1_X	Cycle=21_Fc=2-1_Y	Cycle=22_Fc=2-1_X	Cycle=22_Fc=2-1_Y	Cycle=23_Fc=2-1_X	Cycle=23_Fc=2-1_Y	Cycle=24_Fc=2-1_X	Cycle=24_Fc=2-1_Y	Cycle=25_Fc=2-1_X	Cycle=25_Fc=2-1_Y	Cycle=26_Fc=2-1_X	Cycle=26_Fc=2-1_Y	Cycle=27_Fc=2-1_X	Cycle=27_Fc=2-1_Y	Cycle=28_Fc=2-1_X	Cycle=28_Fc=2-1_Y	Cycle=29_Fc=2-1_X	Cycle=29_Fc=2-1_Y	Cycle=30_Fc=2-1_X	Cycle=30_Fc=2-1_Y
0,1	2,74805	0,1	1,33008	0,1	7,8125e-3	0,1	-0,291016	0,1	-0,662109	0,1	0,658203	0,1	-0,0429688	0,1	0,298828	0,1	0,566406	0,1	1,45703	0,1	1,82813	0,1	2,50781	0,1	3,01758	0,1	3,08789	0,1	3,4082	0,1	3,58789
0,2	2,71875	0,2	1,33008	0,2	0,0488281	0,2	-0,240234	0,2	-0,701172	0,2	0,638672	0,2	-0,0722656	0,2	0,289063	0,2	0,457031	0,2	1,40625	0,2	1,82813	0,2	2,45898	0,2	2,95898	0,2	3,05859	0,2	3,46875	0,2	3,6582
0,3	2,66992	0,3	1,3125	0,3	9,76563e-3	0,3	-0,289063	0,3	-0,720703	0,3	0,599609	0,3	-0,111328	0,3	0,269531	0,3	0,427734	0,3	1,34766	0,3	1,79883	0,3	2,41992	0,3	2,91016	0,3	3,05859	0,3	3,43945	0,3	3,62891
0,4	2,60742	0,4	1,29102	0,4	0	0,4	-0,351563	0,4	-0,761719	0,4	0,539063	0,4	-0,152344	0,4	0,25	0,4	0,408203	0,4	1,29688	0,4	1,76758	0,4	2,37891	0,4	2,87891	0,4	3,02734	0,4	3,37891	0,4	3,57813
0,5	2,55859	0,5	1,23047	0,5	-0,03125	0,5	-0,421875	0,5	-0,822266	0,5	0,507813	0,5	-0,203125	0,5	0,228516	0,5	0,357422	0,5	1,22656	0,5	1,71875	0,5	2,33789	0,5	2,83789	0,5	2,9375	0,5	3,32813	0,5	3,51758
0,6	2,50977	0,6	1,17188	0,6	-0,0703125	0,6	-0,480469	0,6	-0,869141	0,6	0,449219	0,6	-0,25	0,6	0,169922	0,6	0,318359	0,6	1,1582	0,6	1,67969	0,6	2,2793	0,6	2,7793	0,6	2,88867	0,6	3,2793	0,6	3,46875
0,7	2,46875	0,7	1,11133	0,7	-0,111328	0,7	-0,53125	0,7	-0,910156	0,7	0,398438	0,7	-0,28125	0,7	0,119141	0,7	0,277344	0,7	1,12695	0,7	1,63867	0,7	2,22852	0,7	2,73828	0,7	2,83789	0,7	3,23828	0,7	3,42773
0,8	2,46875	0,8	1,10156	0,8	-0,130859	0,8	-0,570313	0,8	-0,929688	0,8	0,388672	0,8	-0,300781	0,8	0,0996094	0,8	0,248047	0,8	1,10742	0,8	1,61914	0,8	2,21875	0,8	2,71875	0,8	2,82813	0,8	3,20898	0,8	3,41797
0,9	2,44727	0,9	1,08008	0,9	-0,150391	0,9	-0,601563	0,9	-0,960938	0,9	0,369141	0,9	-0,3125	0,9	0,0683594	0,9	0,207031	0,9	1,06641	0,9	1,59766	0,9	2,1875	0,9	2,70898	0,9	2,79688	0,9	3,1875	0,9	3,39648
1	2,41797	1	1,07031	1	-0,179688	1	-0,621094	1	-0,980469	1	0,349609	1	-0,332031	1	0,0507813	1	0,177734	1	1,04688	1	1,56836	1	2,16797	1	2,68945	1	2,7793	1	3,1582	1	3,36719
1,1	2,39844	1,1	1,00897	1,1	-0,231262	1,1	-0,630859	1,1	-0,994141	1,1	0,354309	1,1	-0,369141	1,1	5,06592e-3	1,1	0,128906	1,1	1,0379	1,1	1,57422	1,1	2,13477	1,1	2,6496	1,1	2,7879	1,1	3,14648	1,1	3,35742
1,2	2,39923	1,2	0,9375	1,2	-0,298828	1,2	-0,587097	1,2	-0,966003	1,2	0,37384	1,2	-0,385925	1,2	-0,0304565	1,2	0,0828247	1,2	1,06525	1,2	1,58673	1,2	2,12775	1,2	2,5965	1,2	2,83673	1,2	3,15509	1,2	3,3504
1,3	2,42578	1,3	0,943359	1,3	-0,285156	1,3	-0,560547	1,3	-0,962891	1,3	0,368347	1,3	-0,367188	1,3	-0,015625	1,3	0,0976563	1,3	1,08984	1,3	1,60742	1,3	2,16016	1,3	2,5918	1,3	2,84961	1,3	3,16016	1,3	3,36914
1,4	2,409	1,4	0,928528	1,4	-0,301941	1,4	-0,541382	1,4	-0,974609	1,4	0,350403	1,4	-0,390625	1,4	-0,046875	1,4	0,0761719	1,4	1,06915	1,4	1,58673	1,4	2,14844	1,4	2,58087	1,4	2,82697	1,4	3,13281	1,4	3,37579
1,5	2,38672	1,5	0,914063	1,5	-0,332031	1,5	-0,537903	1,5	-0,984375	1,5	0,349609	1,5	-0,408203	1,5	-0,0546875	1,5	0,0605469	1,5	1,07031	1,5	1,57227	1,5	2,125	1,5	2,57617	1,5	2,82617	1,5	3,11523	1,5	3,36133
1,6	2,39453	1,6	0,916809	1,6	-0,321472	1,6	-0,52771	1,6	-0,973816	1,6	0,364075	1,6	-0,405457	1,6	-0,0460815	1,6	0,0535278	1,6	1,09259	1,6	1,58868	1,6	2,13947	1,6	2,59845	1,6	2,83398	1,6	3,12384	1,6	3,36407
1,7	2,39728	1,7	0,916809	1,7	-0,294128	1,7	-0,491394	1,7	-0,952332	1,7	0,389465	1,7	-0,389832	1,7	-0,0206909	1,7	0,0750122	1,7	1,11993	1,7	1,62384	1,7	2,14923	1,7	2,62109	1,7	2,85822	1,7	3,13556	1,7	3,37189
1,8	2,43359	1,8	0,935547	1,8	-0,265625	1,8	-0,445313	1,8	-0,927734	1,8	0,410156	1,8	-0,369141	1,8	3,90625e-3	1,8	0,09375	1,8	1,13672	1,8	1,65039	1,8	2,16992	1,8	2,63867	1,8	2,88867	1,8	3,16406	1,8	3,39844
1,9	2,46564	1,9	0,963684	1,9	-0,237488	1,9	-0,40741	1,9	-0,883972	1,9	0,4422	1,9	-0,333191	1,9	0,0379028	1,9	0,135559	1,9	1,15704	1,9	1,68634	1,9	2,20001	1,9	2,66681	1,9	2,92072	1,9	3,1922	1,9	3,43243
2	2,79883	2	1,32031	2	0,0976563	2	-0,0917969	2	-0,560547	2	0,789063	2	-0,03125	2	0,378906	2	0,498047	2	1,47852	2	2,00781	2	2,54883	2	2,97656	2	3,22656	2	3,50781	2	3,73828
2,1	2,81055	2,1	1,32227	2,1	0,109375	2,1	-0,0898438	2,1	-0,558594	2,1	0,78125	2,1	-0,0390625	2,1	0,369141	2,1	0,5	2,1	1,49023	2,1	2	2,1	2,55078	2,1	2,98828	2,1	3,23047	2,1	3,51953	2,1	3,75
2,2	2,81055	2,2	1,33203	2,2	0,0996094	2,2	-0,0800781	2,2	-0,560547	2,2	0,791016	2,2	-0,0390625	2,2	0,378906	2,2	0,5	2,2	1,49023	2,2	2,01953	2,2	2,54883	2,2	2,98828	2,2	3,23047	2,2	3,51953	2,2	3,74805
2,3	2,80859	2,3	1,32031	2,3	0,109375	2,3	-0,0917969	2,3	-0,552734	2,3	0,779297	2,3	-0,03125	2,3	0,376953	2,3	0,498047	2,3	1,48828	2,3	2,00586	2,3	2,54688	2,3	2,98633	2,3	3,22852	2,3	3,51758	2,3	3,75586
2,4	2,80859	2,4	1,3418	2,4	0,121094	2,4	-0,0703125	2,4	-0,541016	2,4	0,791016	2,4	-0,0195313	2,4	0,388672	2,4	0,519531	2,4	1,5	2,4	2,01758	2,4	2,55859	2,4	2,99805	2,4	3,24023	2,4	3,53906	2,4	3,75781
2,5	2,81836	2,5	1,33203	2,5	0,121094	2,5	-0,0703125	2,5	-0,541016	2,5	0,791016	2,5	-0,03125	2,5	0,388672	2,5	0,509766	2,5	1,50977	2,5	2,01758	2,5	2,54883	2,5	2,99805	2,5	3,24023	2,5	3,53906	2,5	3,76758
2,6	2,83789	2,6	1,36133	2,6	0,140625	2,6	-0,0507813	2,6	-0,53125	2,6	0,810547	2,6	-0,0214844	2,6	0,410156	2,6	0,517578	2,6	1,53906	2,6	2,03711	2,6	2,57813	2,6	3,01953	2,6	3,25	2,6	3,55859	2,6	3,77734
2,7	2,81836	2,7	1,35156	2,7	0,140625	2,7	-0,0605469	2,7	-0,541016	2,7	0,800781	2,7	-0,0214844	2,7	0,400391	2,7	0,519531	2,7	1,5293	2,7	2,03906	2,7	2,55859	2,7	3,00977	2,7	3,25	2,7	3,53906	2,7	3,76758
2,8	2,81836	2,8	1,3418	2,8	0,128906	2,8	-0,0605469	2,8	-0,541016	2,8	0,800781	2,8	-0,03125	2,8	0,400391	2,8	0,517578	2,8	1,5293	2,8	2,0293	2,8	2,56836	2,8	3	2,8	3,25	2,8	3,53906	2,8	3,7793
2,9	2,82813	2,9	1,35156	2,9	0,148438	2,9	-0,0410156	2,9	-0,53125	2,9	0,800781	2,9	-0,0117188	2,9	0,410156	2,9	0,527344	2,9	1,53711	2,9	2,04883	2,9	2,57813	2,9	3,01953	2,9	3,24805	2,9	3,54883	2,9	3,7793
3	2,80859	3	1,32227	3	0,119141	3	-0,0722656	3	-0,550781	3	0,791016	3	-0,0410156	3	0,390625	3	0,498047	3	1,51758	3	2,01953	3	2,54883	3	2,99023	3	3,23828	3	3,51953	3	3,76953
3,1	2,79883	3,1	1,32227	3,1	0,119141	3,1	-0,0820313	3,1	-0,560547	3,1	0,78125	3,1	-0,0507813	3,1	0,371094	3,1	0,498047	3,1	1,51758	3,1	2,01953	3,1	2,54883	3,1	2,99023	3,1	3,22852	3,1	3,51953	3,1	3,75
3,2	2,84961	3,2	1,37305	3,2	0,169922	3,2	-0,0292969	3,2	-0,509766	3,2	0,822266	3,2	0	3,2	0,431641	3,2	0,539063	3,2	1,55859	3,2	2,07031	3,2	2,59961	3,2	3,04102	3,2	3,2793	3,2	3,57031	3,2	3,81055
3,3	2,82813	3,3	1,36133	3,3	0,158203	3,3	-0,0410156	3,3	-0,53125	3,3	0,820313	3,3	-0,0117188	3,3	0,419922	3,3	0,539063	3,3	1,54688	3,3	2,05859	3,3	2,57813	3,3	3,0293	3,3	3,25781	3,3	3,54688	3,3	3,79883
3,4	2,83789	3,4	1,35156	3,4	0,167969	3,4	-0,0410156	3,4	-0,521484	3,4	0,808594	3,4	-9,76563e-3	3,4	0,419922	3,4	0,539063	3,4	1,55859	3,4	2,05859	3,4	2,58789	3,4	3,03906	3,4	3,25781	3,4	3,55664	3,4	3,80859
3,5	2,84766	3,5	1,36133	3,5	0,167969	3,5	-0,03125	3,5	-0,511719	3,5	0,828125	3,5	-0,0117188	3,5	0,429688	3,5	0,539063	3,5	1,55859	3,5	2,07813	3,5	2,58789	3,5	3,03711	3,5	3,25781	3,5	3,56641	3,5	3,80859
3,6	2,83984	3,6	1,37305	3,6	0,171875	3,6	-0,0292969	3,6	-0,519531	3,6	0,820313	3,6	1,95313e-3	3,6	0,419922	3,6	0,541016	3,6	1,56055	3,6	2,07031	3,6	2,58984	3,6	3,03906	3,6	3,27148	3,6	3,55859	3,6	3,83008
3,7	2,84766	3,7	1,38086	3,7	0,169922	3,7	-0,0410156	3,7	-0,511719	3,7	0,818359	3,7	-9,76563e-3	3,7	0,427734	3,7	0,539063	3,7	1,55859	3,7	2,06836	3,7	2,58789	3,7	3,03711	3,7	3,25977	3,7	3,55664	3,7	3,82813
3,8	2,84766	3,8	1,38086	3,8	0,160156	3,8	-0,0410156	3,8	-0,501953	3,8	0,808594	3,8	0	3,8	0,417969	3,8	0,539063	3,8	1,54883	3,8	2,05859	3,8	2,58789	3,8	3,03711	3,8	3,25	3,8	3,56836	3,8	3,82813
3,9	2,85156	3,9	1,39258	3,9	0,162109	3,9	-0,0390625	3,9	-0,5	3,9	0,820313	3,9	1,95313e-3	3,9	0,410156	3,9	0,53125	3,9	1,55078	3,9	2,06055	3,9	2,60156	3,9	3,04883	3,9	3,25195	3,9	3,56055	3,9	3,83984
4	2,85156	4	1,38281	4	0,162109	4	-0,0390625	4	-0,5	4	0,822266	4	1,95313e-3	4	0,419922	4	0,541016	4	1,54102	4	2,07031	4	2,60156	4	3,03906	4	3,26172	4	3,57031	4	3,83984
4,1	2,84961	4,1	1,39063	4,1	0,150391	4,1	-0,0410156	4,1	-0,501953	4,1	0,830078	4,1	-1,95313e-3	4,1	0,417969	4,1	0,519531	4,1	1,53906	4,1	2,06641	4,1	2,58984	4,1	3,04688	4,1	3,25977	4,1	3,56836	4,1	3,83789
4,2	2,83984	4,2	1,40039	4,2	0,160156	4,2	-0,0410156	4,2	-0,501953	4,2	0,830078	4,2	7,8125e-3	4,2	0,427734	4,2	0,509766	4,2	1,55859	4,2	2,06641	4,2	2,58008	4,2	3,04688	4,2	3,25977	4,2	3,57813	4,2	3,83789
4,3	2,83008	4,3	1,40234	4,3	0,160156	4,3	-0,0292969	4,3	-0,5	4,3	0,832031	4,3	0	4,3	0,419922	4,3	0,521484	4,3	1,55078	4,3	2,07031	4,3	2,5918	4,3	3,05078	4,3	3,25977	4,3	3,57031	4,3	3,83008
4,4	2,82813	4,4	1,40039	4,4	0,148438	4,4	-0,03125	4,4	-0,501953	4,4	0,830078	4,4	-1,95313e-3	4,4	0,429688	4,4	0,517578	4,4	1,55859	4,4	2,06836	4,4	2,58984	4,4	3,03906	4,4	3,25781	4,4	3,57813	4,4	3,83984
4,5	2,83789	4,5	1,41016	4,5	0,167969	4,5	-0,0332031	4,5	-0,492188	4,5	0,839844	4,5	-1,95313e-3	4,5	0,429688	4,5	0,517578	4,5	1,56836	4,5	2,07813	4,5	2,60938	4,5	3,04883	4,5	3,25781	4,5	3,59766	4,5	3,85938
4,6	2,81836	4,6	1,39063	4,6	0,138672	4,6	-0,0429688	4,6	-0,511719	4,6	0,810547	4,6	-0,0214844	4,6	0,419922	4,6	0,498047	4,6	1,54883	4,6	2,06836	4,6	2,58789	4,6	3,0293	4,6	3,24805	4,6	3,56836	4,6	3,84961
4,7	2,83008	4,7	1,4043	4,7	0,130859	4,7	-0,0390625	4,7	-0,519531	4,7	0,802734	4,7	-0,0195313	4,7	0,412109	4,7	0,5	4,7	1,56055	4,7	2,06055	4,7	2,58984	4,7	3,04102	4,7	3,25	4,7	3,57031	4,7	3,85156
4,8	2,83789	4,8	1,40234	4,8	0,138672	4,8	-0,0410156	4,8	-0,511719	4,8	0,810547	4,8	0,0175781	4,8	0,398438	4,8	0,507813	4,8	1,57813	4,8	2,06836	4,8	2,59766	4,8	3,04883	4,8	3,25781	4,8	3,56836	4,8	3,86914
