,name,pLDDT_full,pLDDT_inpaint,linker_start,linker_end
0,hit6_reloop_299_0,0.8592411,0.663889,60,79
1,hit6_swap_1081_0,0.83053756,0.6855091,65,75
2,CSM8_normal_70_0,0.8883552,0.6534635,58,73
3,hit6_reloop_767_0,0.835509,0.7153359,64,81
4,CSM8_swap_849_0,0.83279324,0.49210772,65,79
5,hit6_normal_88_0,0.87222713,0.5059488,58,74
6,CSM8_swap_1079_0,0.8081825,0.5574006,61,76
7,hit6_swap_716_0,0.82182854,0.56945336,55,65
8,hit6_swap_215_0,0.8360181,0.7106535,64,75
9,CSM8_swap_1084_0,0.8451118,0.67725545,60,69
10,hit6_normal_75_0,0.9089973,0.54851824,58,69
11,hit6_reloop_264_0,0.83385456,0.6441479,65,84
12,hit6_swap_813_0,0.8265714,0.6578858,62,80
13,CSM8_reloop_579_0,0.8887591,0.67646325,59,74
14,hit6_reloop_1004_0,0.8385731,0.6764688,58,77
15,CSM8_reloop_584_0,0.86716336,0.5683053,59,70
16,hit6_swap_131_0,0.83362013,0.61127365,57,67
17,hit6_reloop_140_0,0.82626617,0.6888029,61,82
18,CSM8_swap_19_0,0.8212068,0.58555585,58,73
19,hit6_swap_1358_0,0.8025713,0.6449683,63,82
20,CSM8_reloop_958_0,0.83684665,0.5891006,60,80
21,hit6_swap_432_0,0.8235084,0.5401504,61,77
22,hit6_reloop_1320_0,0.8701499,0.6258788,64,81
23,CSM8_swap_495_0,0.82125086,0.6103347,63,75
24,hit6_reloop_2_0,0.8531818,0.50869006,57,74
25,CSM8_reloop_1393_0,0.8759852,0.6270971,60,78
26,CSM8_swap_468_0,0.79698884,0.58383393,58,77
27,CSM8_swap_196_0,0.8115053,0.59587884,67,80
28,CSM8_reloop_331_0,0.8239578,0.69657105,65,81
29,CSM8_swap_104_0,0.8479248,0.6742391,64,83
30,CSM8_swap_407_0,0.83138984,0.54528916,60,77
31,CSM8_reloop_1301_0,0.8238134,0.5366335,68,81
32,CSM8_reloop_632_0,0.81382096,0.61898214,63,81
33,hit6_swap_1337_0,0.799724,0.6127271,62,81
34,CSM8_swap_76_0,0.8610891,0.61286557,58,70
35,CSM8_reloop_937_0,0.8416524,0.7200485,67,79
36,CSM8_swap_1332_0,0.85542065,0.61189663,65,80
37,CSM8_reloop_1025_0,0.82221955,0.59509647,66,84
38,CSM8_swap_723_0,0.8419307,0.59649426,64,83
39,CSM8_reloop_516_0,0.8481541,0.73190033,60,72
40,hit6_reloop_1096_0,0.8290145,0.5370633,63,81
41,hit6_swap_881_0,0.8339299,0.6614719,64,73
42,hit6_swap_60_0,0.8323427,0.6307486,58,70
43,CSM8_swap_220_0,0.81010777,0.50365627,55,70
44,hit6_reloop_708_0,0.84026533,0.68260354,62,80
45,CSM8_swap_826_0,0.81180197,0.6417034,62,81
46,CSM8_swap_1016_0,0.8208286,0.59555286,59,72
47,hit6_swap_779_0,0.85730904,0.66250044,56,66
48,hit6_swap_287_0,0.83892155,0.63105834,60,77
49,hit6_swap_784_0,0.81408936,0.52941424,58,71
50,hit6_swap_1013_0,0.8364243,0.53508556,56,71
51,hit6_swap_1234_0,0.85454834,0.5584395,58,76
52,CSM8_swap_1231_0,0.8450805,0.618859,66,83
53,CSM8_reloop_834_0,0.82909757,0.68631285,64,81
54,CSM8_reloop_232_0,0.8713899,0.62238795,57,68
55,CSM8_reloop_731_0,0.8356561,0.6653806,62,74
56,CSM8_reloop_1202_0,0.8384455,0.55582273,62,75
57,CSM8_swap_504_0,0.8208983,0.5803202,62,71
58,CSM8_swap_1115_0,0.8481872,0.54370296,57,74
59,hit6_swap_384_0,0.8285603,0.5818169,55,70
60,CSM8_swap_925_0,0.8415853,0.63648427,63,77
61,hit6_swap_1110_0,0.8002211,0.6029641,62,80
62,hit6_reloop_308_0,0.86007667,0.6792965,63,84
63,hit6_swap_379_0,0.8598522,0.52567786,61,71
64,CSM8_swap_1416_0,0.7998917,0.62797815,63,79
65,CSM8_reloop_39_0,0.82855713,0.69900304,65,83
