,name,full_native_rif_score,full_native_rif_bb-hbond,full_native_rif_hyd-cont,full_native_rif_hyd-ddg,just_trp_rif_score,just_trp_rif_bb-hbond,just_trp_rif_hyd-cont,just_trp_rif_hyd-ddg
0,HHH_b2_01559_000000228_std_0001_0001,-1.506,0.0,0.0,-0.0,-1.506,0.0,0.0,-0.0
1,HHH_b1_07471_000000176_std_0001_0001,2.081,0.0,0.0,-0.0,2.081,0.0,0.0,-0.0
2,m_HHH_b1_06568_000000270_std_0001_41_56_H_._HHH_b1_07294_0001_0001_0001,283.279,0.0,0.0,-0.0,283.279,0.0,0.0,-0.0
3,m_HHH_b1_07962_000000024_nat_0001_22_34_H_._HHH_b1_07345_0001_0001_0001,178.843,0.0,0.0,-0.0,178.843,0.0,0.0,-0.0
4,HHH_b1_02709_000000041_std_0001_0001,-0.139,0.0,0.0,-0.0,-0.139,0.0,0.0,-0.0
5,HHH_b1_05835_000000031_std_0001_0001,-0.378,0.0,0.0,-0.0,-0.378,0.0,0.0,-0.0
6,HHH_b1_05095_000000289_std_0001_0001,1.433,0.0,0.0,-0.0,1.433,0.0,0.0,-0.0
7,HHH_b2_01175_000000011_std_0001_0001,0.434,0.0,0.0,-0.0,0.434,0.0,0.0,-0.0
8,HHH_b2_02819_000000068_std_0001_0001,-0.952,0.0,0.0,-0.0,-0.952,0.0,0.0,-0.0
9,HHH_b1_06879_000000092_std_0001_0001,-0.394,0.0,0.0,-0.0,-0.394,0.0,0.0,-0.0
10,HHH_b1_03583_000000244_std_0001_0001,-0.871,0.0,0.0,-0.0,-0.871,0.0,0.0,-0.0
11,HHH_b1_00238_000000194_std_0001_0001,-0.022,0.0,0.0,-0.0,-0.022,0.0,0.0,-0.0
12,HHH_b2_04714_000000143_std_0001_0001,2.443,0.0,0.0,-0.0,2.443,0.0,0.0,-0.0
13,HHH_b1_01689_000000145_std_0001_0001,3.123,0.0,0.0,-0.0,3.123,0.0,0.0,-0.0
14,HHH_b1_07518_000000171_std_0001_0001,0.113,0.0,0.0,-0.0,0.113,0.0,0.0,-0.0
15,HHH_b1_03537_000000035_std_0001_0001,-0.737,0.0,0.0,-0.0,-0.737,0.0,0.0,-0.0
16,HHH_b2_07328_000000182_std_0001_0001,-0.364,0.0,0.0,-0.0,-0.364,0.0,0.0,-0.0
17,m_HHH_b2_06203_000000238_std_0001_3_18_H_._HHH_b2_01650_0001_0001_0001,2.76,0.0,0.0,-0.0,2.76,0.0,0.0,-0.0
18,HHH_b2_05712_000000113_std_0001_0001,-0.321,0.0,0.0,-0.0,-0.321,0.0,0.0,-0.0
19,HHH_b1_00604_000000233_std_0001_0001,-1.204,0.0,0.0,-0.0,-1.204,0.0,0.0,-0.0
20,HHH_b1_06163_000000208_std_0001_0001,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0
21,HHH_b2_04196_000000210_std_0001_0001,17.295,0.0,0.0,-0.0,17.295,0.0,0.0,-0.0
